sim_time,agent_id,x,y,z
0.000,0,0.0000,0.0000,-5.0000
0.000,1,5.0000,0.0000,-5.0000
0.000,2,10.0000,0.0000,-5.0000
0.000,3,15.0000,0.0000,-5.0000
0.000,4,20.0000,0.0000,-5.0000
0.000,5,25.0000,0.0000,-5.0000
0.000,6,30.0000,0.0000,-5.0000
0.000,7,35.0000,0.0000,-5.0000
0.000,8,40.0000,0.0000,-5.0000
0.000,9,45.0000,0.0000,-5.0000
1.000,0,0.0000,-0.0002,-5.0000
1.000,1,5.0001,-0.0004,-5.0000
1.000,2,11.1770,0.7295,-4.9995
1.000,3,15.0000,0.0004,-5.0000
1.000,4,20.0001,0.0001,-4.9999
1.000,5,25.0000,0.0001,-5.0000
1.000,6,30.0000,0.0001,-5.0000
1.000,7,35.0000,0.0000,-4.9999
1.000,8,40.0001,0.0000,-5.0000
1.000,9,45.0000,0.0001,-4.9998
2.000,0,-0.0000,-0.0006,-5.0000
2.000,1,5.0002,-0.0013,-4.9999
2.000,2,11.7595,1.1238,-4.9988
2.000,3,15.0000,0.0013,-4.9998
2.000,4,20.0002,0.0005,-4.9999
2.000,5,25.0000,0.0002,-4.9999
2.000,6,30.0000,0.0003,-4.9999
2.000,7,35.0000,0.0001,-4.9998
2.000,8,40.0003,0.0002,-4.9999
2.000,9,44.9999,0.0003,-4.9996
3.000,0,-0.0002,-0.0011,-5.0000
3.000,1,5.0001,-0.0024,-4.9998
3.000,2,11.9526,1.2617,-4.9979
3.000,3,14.9999,0.0023,-4.9997
3.000,4,20.0002,0.0009,-5.0000
3.000,5,24.9999,0.0004,-4.9999
3.000,6,30.0000,0.0006,-4.9998
3.000,7,34.9999,0.0003,-4.9997
3.000,8,40.0004,0.0005,-4.9998
3.000,9,44.9999,0.0004,-4.9995
4.000,0,-0.0002,-0.0016,-5.0000
4.000,1,5.0000,-0.0036,-4.9998
4.000,2,12.0190,1.3124,-4.9974
4.000,3,14.9999,0.0035,-4.9996
4.000,4,20.0002,0.0013,-4.9999
4.000,5,24.9999,0.0007,-4.9998
4.000,6,30.0000,0.0007,-4.9997
4.000,7,34.9999,0.0006,-4.9996
4.000,8,40.0003,0.0006,-4.9996
4.000,9,44.9998,0.0005,-4.9995
5.000,0,-0.0002,-0.0021,-5.0000
5.000,1,4.9999,-0.0048,-4.9999
5.000,2,12.0416,1.3320,-4.9971
5.000,3,14.9999,0.0046,-4.9994
5.000,4,20.0002,0.0019,-4.9998
5.000,5,24.9999,0.0010,-4.9996
5.000,6,30.0000,0.0008,-4.9996
5.000,7,34.9999,0.0007,-4.9995
5.000,8,40.0003,0.0008,-4.9994
5.000,9,44.9997,0.0004,-4.9995
6.000,0,-0.0002,-0.0026,-5.0000
6.000,1,4.9997,-0.0059,-4.9999
6.000,2,12.0486,1.3407,-4.9968
6.000,3,15.0000,0.0057,-4.9993
6.000,4,20.0002,0.0025,-4.9997
6.000,5,24.9998,0.0013,-4.9995
6.000,6,30.0000,0.0010,-4.9996
6.000,7,34.9999,0.0009,-4.9994
6.000,8,40.0003,0.0010,-4.9991
6.000,9,44.9997,0.0005,-4.9994
7.000,0,-0.0002,-0.0030,-5.0000
7.000,1,4.9996,-0.0068,-4.9999
7.000,2,12.0500,1.3452,-4.9966
7.000,3,15.0001,0.0067,-4.9993
7.000,4,20.0002,0.0030,-4.9996
7.000,5,24.9997,0.0016,-4.9994
7.000,6,30.0000,0.0013,-4.9996
7.000,7,34.9999,0.0009,-4.9994
7.000,8,40.0002,0.0012,-4.9990
7.000,9,44.9997,0.0007,-4.9994
8.000,0,-0.0001,-0.0035,-5.0000
8.000,1,4.9996,-0.0078,-4.9999
8.000,2,12.0496,1.3484,-4.9964
8.000,3,15.0001,0.0079,-4.9992
8.000,4,20.0002,0.0036,-4.9996
8.000,5,24.9997,0.0021,-4.9994
8.000,6,30.0000,0.0016,-4.9995
8.000,7,34.9999,0.0010,-4.9993
8.000,8,40.0002,0.0014,-4.9990
8.000,9,44.9996,0.0009,-4.9994
9.000,0,-0.0002,-0.0040,-4.9999
9.000,1,4.9998,-0.0087,-4.9998
9.000,2,12.0486,1.3513,-4.9962
9.000,3,15.0001,0.0090,-4.9992
9.000,4,20.0002,0.0043,-4.9998
9.000,5,24.9997,0.0025,-4.9994
9.000,6,30.0000,0.0019,-4.9994
9.000,7,35.0000,0.0012,-4.9993
9.000,8,40.0003,0.0017,-4.9989
9.000,9,44.9996,0.0011,-4.9995
10.000,0,-0.0003,-0.0044,-4.9998
10.000,1,5.0000,-0.0097,-4.9997
10.000,2,12.0473,1.3539,-4.9961
10.000,3,15.0001,0.0102,-4.9992
10.000,4,20.0001,0.0048,-4.9998
10.000,5,24.9998,0.0028,-4.9993
10.000,6,30.0001,0.0022,-4.9994
10.000,7,35.0000,0.0013,-4.9992
10.000,8,40.0003,0.0019,-4.9988
10.000,9,44.9995,0.0013,-4.9995
11.000,0,-0.0003,-0.0049,-4.9997
11.000,1,5.0001,-0.0107,-4.9995
11.000,2,12.0459,1.3564,-4.9958
11.000,3,15.0001,0.0115,-4.9990
11.000,4,20.0001,0.0054,-4.9999
11.000,5,24.9998,0.0033,-4.9993
11.000,6,30.0001,0.0026,-4.9993
11.000,7,35.0000,0.0014,-4.9990
11.000,8,40.0002,0.0020,-4.9987
11.000,9,44.9995,0.0015,-4.9996
12.000,0,-0.0004,-0.0053,-4.9997
12.000,1,5.0001,-0.0117,-4.9994
12.000,2,12.0444,1.3586,-4.9955
12.000,3,15.0001,0.0127,-4.9987
12.000,4,20.0000,0.0058,-4.9998
12.000,5,24.9997,0.0036,-4.9993
12.000,6,30.0000,0.0027,-4.9992
12.000,7,34.9999,0.0015,-4.9988
12.000,8,40.0002,0.0022,-4.9986
12.000,9,44.9996,0.0017,-4.9997
13.000,0,-0.0005,-0.0059,-4.9997
13.000,1,5.0001,-0.0126,-4.9995
13.000,2,12.0429,1.3609,-4.9953
13.000,3,15.0002,0.0138,-4.9984
13.000,4,20.0000,0.0062,-4.9997
13.000,5,24.9997,0.0039,-4.9992
13.000,6,30.0001,0.0028,-4.9990
13.000,7,34.9998,0.0016,-4.9987
13.000,8,40.0001,0.0025,-4.9984
13.000,9,44.9996,0.0019,-4.9998
