sim_time,agent_id,x,y,z
0.000,0,1.1767,-0.9634,-4.4174
0.000,1,2.2654,-2.2687,-4.7444
0.000,2,2.6089,-3.8466,-5.6351
0.000,3,2.5394,-5.5756,-5.5121
0.000,4,2.8328,-7.1719,-4.8030
0.000,5,3.9605,-8.4629,-4.2837
0.000,6,5.0859,-9.7547,-4.8036
0.000,7,5.2999,-11.3801,-5.5868
0.000,8,5.2796,-13.0911,-5.3543
0.000,9,5.6053,-14.6755,-4.8252
1.000,0,2.9967,-0.8614,-4.4957
1.000,1,4.0731,-2.0337,-4.7804
1.000,2,4.3848,-3.4509,-5.5448
1.000,3,4.2717,-5.0216,-5.4411
1.000,4,4.5116,-6.4716,-4.8298
1.000,5,5.5657,-7.6166,-4.3843
1.000,6,6.5940,-8.7726,-4.8305
1.000,7,6.7073,-10.2977,-5.5061
1.000,8,6.6019,-11.9212,-5.3089
1.000,9,6.8390,-13.4168,-4.8452
2.000,0,6.1270,-0.6828,-4.6249
2.000,1,7.1880,-1.6245,-4.8391
2.000,2,7.4478,-2.7640,-5.3959
2.000,3,7.2650,-4.0605,-5.3221
2.000,4,7.4105,-5.2598,-4.8775
2.000,5,8.3389,-6.1536,-4.5507
2.000,6,9.2024,-7.0722,-4.8738
2.000,7,9.1436,-8.4233,-5.3734
2.000,8,8.8943,-9.8907,-5.2349
2.000,9,8.9748,-11.2368,-4.8780
3.000,0,9.4451,-0.5025,-4.7528
3.000,1,10.4861,-1.1944,-4.8987
3.000,2,10.6993,-2.0386,-5.2499
3.000,3,10.4391,-3.0399,-5.2077
3.000,4,10.4868,-3.9697,-4.9232
3.000,5,11.2817,-4.5984,-4.7091
3.000,6,11.9723,-5.2645,-4.9171
3.000,7,11.7324,-6.4243,-5.2451
3.000,8,11.3317,-7.7278,-5.1613
3.000,9,11.2509,-8.9159,-4.9143
4.000,0,12.7896,-0.3314,-4.8653
4.000,1,13.8071,-0.7690,-4.9514
4.000,2,13.9718,-1.3135,-5.1241
4.000,3,13.6374,-2.0134,-5.1082
4.000,4,13.5827,-2.6703,-4.9572
4.000,5,14.2479,-3.0294,-4.8493
4.000,6,14.7591,-3.4427,-4.9583
4.000,7,14.3411,-4.4054,-5.1348
4.000,8,13.7829,-5.5473,-5.0951
4.000,9,13.5428,-6.5795,-4.9483
5.000,0,16.1394,-0.1678,-4.9570
5.000,1,17.1087,-0.1491,-4.9168
5.000,2,17.2971,-0.6253,-5.0607
5.000,3,16.8084,-1.0034,-5.0592
5.000,4,16.6767,-1.5056,-4.9249
5.000,5,17.1828,-1.4859,-4.9585
5.000,6,17.6286,-1.6888,-5.0020
5.000,7,16.9478,-2.3848,-5.0438
5.000,8,16.2357,-3.3613,-5.0373
5.000,9,15.8383,-4.2394,-4.9748
6.000,0,19.1215,0.0990,-5.0060
6.000,1,19.9131,0.5874,-4.8883
6.000,2,20.1539,0.1457,-5.0470
6.000,3,19.5864,0.0593,-5.0514
6.000,4,19.4687,-0.3916,-4.8486
6.000,5,19.9377,-0.4423,-4.9689
6.000,6,20.4166,-0.4617,-5.0518
6.000,7,19.4825,-0.8699,-5.0879
6.000,8,18.6816,-1.1798,-4.9990
6.000,9,18.1341,-1.8957,-4.9936
7.000,0,20.1761,0.6336,-4.9179
7.000,1,20.9049,0.8261,-4.8373
7.000,2,21.0925,0.4690,-5.1373
7.000,3,20.6318,0.4952,-5.0908
7.000,4,20.5957,0.0961,-4.8149
7.000,5,21.0455,0.0296,-4.9178
7.000,6,21.4942,-0.0524,-4.9998
7.000,7,20.5972,-0.3281,-5.0813
7.000,8,20.1481,0.1239,-4.9915
7.000,9,19.6900,-0.2705,-5.0512
8.000,0,19.9483,0.7217,-4.8584
8.000,1,20.4334,0.7355,-4.8344
8.000,2,20.7693,0.5402,-5.1012
8.000,3,20.3114,0.5991,-5.0950
8.000,4,20.2412,0.1817,-4.7980
8.000,5,20.7040,0.1356,-4.8522
8.000,6,21.1539,0.0615,-4.9348
8.000,7,20.2651,-0.0806,-5.0980
8.000,8,19.8069,0.2488,-5.0158
8.000,9,19.4320,-0.1976,-5.0599
9.000,0,19.4304,0.5115,-4.8656
9.000,1,19.9113,0.5246,-4.8821
9.000,2,20.2576,0.3642,-5.1349
9.000,3,19.8010,0.4162,-5.1420
9.000,4,19.7238,-0.0364,-4.8618
9.000,5,20.1845,-0.0443,-4.8954
9.000,6,20.6409,-0.1080,-4.9452
9.000,7,19.7536,-0.2810,-5.1299
9.000,8,19.2914,0.0744,-5.0422
9.000,9,19.0171,-0.4006,-5.0165
10.000,0,19.4273,0.3762,-4.8791
10.000,1,19.9049,0.3268,-4.9019
10.000,2,20.2052,0.1478,-5.1639
10.000,3,19.7497,0.2091,-5.1533
10.000,4,19.6745,-0.2267,-4.8808
10.000,5,20.1330,-0.2555,-4.9171
10.000,6,20.5855,-0.3306,-4.9827
10.000,7,19.7005,-0.4978,-5.1463
10.000,8,19.1925,-0.0364,-5.0621
10.000,9,18.8317,-0.4193,-5.0660
11.000,0,19.6261,0.3602,-4.8467
11.000,1,20.1018,0.2948,-4.8699
11.000,2,20.3752,0.1146,-5.1330
11.000,3,19.9145,0.1120,-5.1226
11.000,4,19.8742,-0.2706,-4.8665
11.000,5,20.3335,-0.2853,-4.8933
11.000,6,20.7899,-0.3378,-4.9574
11.000,7,19.9320,-0.5661,-5.1374
11.000,8,19.3541,-0.0176,-5.0510
11.000,9,18.8728,-0.1967,-5.0612
