sim_time,agent_id,x,y,z
0.000,0,1.1685,-0.9659,-5.0259
0.000,1,1.7229,-2.4668,-4.8947
0.000,2,2.2703,-3.9703,-5.2246
0.000,3,2.8848,-5.4492,-5.0401
0.000,4,3.3572,-6.9801,-4.9826
0.000,5,3.9702,-8.4595,-4.8255
0.000,6,4.5797,-9.9403,-4.9834
0.000,7,4.9329,-11.5147,-5.1522
0.000,8,5.6213,-12.9666,-4.8033
0.000,9,6.1422,-14.4797,-5.0159
1.000,0,1.1702,-0.9639,-5.0259
1.000,1,1.7237,-2.4664,-4.8946
1.000,2,2.2707,-3.9700,-5.2246
1.000,3,2.8851,-5.4490,-5.0401
1.000,4,3.3575,-6.9800,-4.9826
1.000,5,3.9703,-8.4595,-4.8255
1.000,6,4.5798,-9.9402,-4.9834
1.000,7,4.9330,-11.5147,-5.1521
1.000,8,5.6215,-12.9666,-4.8034
1.000,9,6.1423,-14.4796,-5.0157
2.000,0,1.1733,-0.9601,-5.0257
2.000,1,1.7252,-2.4655,-4.8944
2.000,2,2.2715,-3.9694,-5.2247
2.000,3,2.8857,-5.4487,-5.0401
2.000,4,3.3581,-6.9799,-4.9828
2.000,5,3.9708,-8.4594,-4.8255
2.000,6,4.5801,-9.9400,-4.9832
2.000,7,4.9333,-11.5147,-5.1522
2.000,8,5.6220,-12.9664,-4.8035
2.000,9,6.1425,-14.4794,-5.0154
3.000,0,1.1768,-0.9556,-5.0254
3.000,1,1.7267,-2.4644,-4.8942
3.000,2,2.2724,-3.9689,-5.2245
3.000,3,2.8863,-5.4483,-5.0400
3.000,4,3.3586,-6.9797,-4.9831
3.000,5,3.9712,-8.4593,-4.8255
3.000,6,4.5805,-9.9398,-4.9830
3.000,7,4.9336,-11.5145,-5.1522
3.000,8,5.6224,-12.9662,-4.8036
3.000,9,6.1426,-14.4793,-5.0152
4.000,0,1.1805,-0.9509,-5.0251
4.000,1,1.7282,-2.4634,-4.8941
4.000,2,2.2734,-3.9684,-5.2244
4.000,3,2.8871,-5.4478,-5.0400
4.000,4,3.3592,-6.9794,-4.9832
4.000,5,3.9716,-8.4592,-4.8255
4.000,6,4.5808,-9.9397,-4.9828
4.000,7,4.9339,-11.5143,-5.1523
4.000,8,5.6227,-12.9660,-4.8036
4.000,9,6.1428,-14.4793,-5.0150
5.000,0,1.1846,-0.9459,-5.0249
5.000,1,1.7298,-2.4622,-4.8940
5.000,2,2.2745,-3.9679,-5.2244
5.000,3,2.8878,-5.4474,-5.0400
5.000,4,3.3598,-6.9790,-4.9833
5.000,5,3.9721,-8.4590,-4.8255
5.000,6,4.5813,-9.9396,-4.9827
5.000,7,4.9343,-11.5142,-5.1523
5.000,8,5.6229,-12.9658,-4.8036
5.000,9,6.1431,-14.4794,-5.0148
6.000,0,1.1887,-0.9408,-5.0247
6.000,1,1.7313,-2.4610,-4.8939
6.000,2,2.2756,-3.9673,-5.2243
6.000,3,2.8886,-5.4470,-5.0400
6.000,4,3.3604,-6.9787,-4.9834
6.000,5,3.9725,-8.4588,-4.8255
6.000,6,4.5817,-9.9395,-4.9826
6.000,7,4.9346,-11.5141,-5.1524
6.000,8,5.6232,-12.9657,-4.8036
6.000,9,6.1434,-14.4793,-5.0145
7.000,0,1.1928,-0.9359,-5.0245
7.000,1,1.7329,-2.4596,-4.8938
7.000,2,2.2766,-3.9667,-5.2243
7.000,3,2.8894,-5.4466,-5.0401
7.000,4,3.3610,-6.9783,-4.9835
