sim_time,agent_id,x,y,z
0.000,0,1.1753,-0.9634,-4.4165
0.000,1,2.2640,-2.2687,-4.7436
0.000,2,2.6075,-3.8466,-5.6343
0.000,3,2.5380,-5.5757,-5.5113
0.000,4,2.8315,-7.1719,-4.8022
0.000,5,3.9593,-8.4629,-4.2830
0.000,6,5.0847,-9.7548,-4.8028
0.000,7,5.2988,-11.3802,-5.5861
0.000,8,5.2785,-13.0912,-5.3536
0.000,9,5.6044,-14.6757,-4.8246
1.000,0,1.1812,-0.8759,-3.3819
1.000,1,2.2679,-2.0663,-3.6815
1.000,2,2.6104,-3.5063,-4.4849
1.000,3,2.5405,-5.0980,-4.4033
1.000,4,2.8340,-6.5664,-3.8088
1.000,5,3.9606,-7.7298,-3.3958
1.000,6,5.0862,-8.8942,-3.9048
1.000,7,5.3000,-10.4211,-4.6477
1.000,8,5.2806,-12.0491,-4.4922
1.000,9,5.6054,-13.5523,-4.0694
2.000,0,1.1986,-0.7152,-1.6685
2.000,1,2.2787,-1.7174,-1.9348
2.000,2,2.6191,-2.9277,-2.6062
2.000,3,2.5493,-4.2854,-2.5820
2.000,4,2.8413,-5.5336,-2.1720
2.000,5,3.9658,-6.4768,-1.9308
2.000,6,5.0915,-7.4253,-2.4246
2.000,7,5.3044,-8.7836,-3.0970
2.000,8,5.2864,-10.2573,-3.0578
2.000,9,5.6075,-11.6141,-2.8047
3.000,0,1.2179,-0.5521,-0.0947
3.000,1,2.2896,-1.3763,-0.3487
3.000,2,2.6308,-2.3661,-0.8967
3.000,3,2.5596,-3.4920,-0.9154
3.000,4,2.8501,-4.5194,-0.6652
3.000,5,3.9717,-5.2467,-0.5830
3.000,6,5.0979,-5.9822,-1.0658
3.000,7,5.3086,-7.1540,-1.6515
3.000,8,5.2926,-8.4554,-1.6969
3.000,9,5.6116,-9.6512,-1.5961
4.000,0,1.2308,-0.4123,-0.3477
4.000,1,2.2977,-1.0734,-0.3063
4.000,2,2.6410,-1.8708,-0.0363
4.000,3,2.5707,-2.7867,-0.0047
4.000,4,2.8581,-3.6063,-0.1484
4.000,5,3.9777,-4.1437,-0.1482
4.000,6,5.1037,-4.7065,0.0044
4.000,7,5.3142,-5.6898,-0.4656
4.000,8,5.2978,-6.8141,-0.5563
4.000,9,5.6160,-7.8437,-0.5670
5.000,0,1.2381,-0.3000,0.0020
5.000,1,2.3019,-0.8122,-0.0417
5.000,2,2.6475,-1.4348,-0.2553
5.000,3,2.5778,-2.1607,-0.2472
5.000,4,2.8644,-2.8002,-0.1593
5.000,5,3.9820,-3.1818,-0.1373
5.000,6,5.1084,-3.5869,-0.2732
5.000,7,5.3189,-4.4098,-0.1804
5.000,8,5.3026,-5.3595,-0.1144
5.000,9,5.6213,-6.2254,-0.0861
6.000,0,1.2423,-0.2130,-0.0531
6.000,1,2.2850,-0.5478,-0.1618
6.000,2,2.6662,-1.0621,-0.1472
6.000,3,2.5770,-1.6448,-0.1431
