sim_time,agent_id,x,y,z
0.000,0,1.1772,-0.9634,-4.4175
0.000,1,2.2659,-2.2689,-4.7445
0.000,2,2.6094,-3.8469,-5.6349
0.000,3,2.5399,-5.5760,-5.5120
0.000,4,2.8334,-7.1724,-4.8031
0.000,5,3.9612,-8.4635,-4.2839
0.000,6,5.0864,-9.7552,-4.8036
0.000,7,5.3001,-11.3803,-5.5867
0.000,8,5.2797,-13.0912,-5.3542
0.000,9,5.6053,-14.6755,-4.8253
1.000,0,3.6073,-0.9520,-4.6561
1.000,1,4.6965,-2.2632,-4.8541
1.000,2,5.0353,-3.8421,-5.3615
1.000,3,4.9657,-5.5735,-5.2971
1.000,4,5.2605,-7.1715,-4.8863
1.000,5,6.2803,-8.3543,-4.5489
1.000,6,7.1553,-9.3660,-4.8786
1.000,7,7.0620,-10.6666,-5.3953
1.000,8,6.7495,-12.0716,-5.2322
1.000,9,6.8529,-13.4308,-4.8618
2.000,0,7.6267,-0.9301,-4.9321
2.000,1,8.7238,-2.2495,-4.9765
2.000,2,9.0568,-3.8291,-5.0561
2.000,3,8.9203,-5.4837,-5.0859
2.000,4,8.9794,-6.8105,-5.4032
2.000,5,9.6590,-7.5821,-4.0532
2.000,6,10.6282,-8.6702,-4.6718
2.000,7,9.9551,-9.3239,-6.1707
2.000,8,9.1707,-10.1781,-5.0202
2.000,9,9.3909,-11.6678,-4.6296
3.000,0,11.8239,-0.9143,-5.0351
3.000,1,12.9229,-2.2381,-5.0172
3.000,2,13.2476,-3.8047,-4.9938
3.000,3,12.8445,-5.1313,-4.6744
3.000,4,12.8127,-6.3468,-5.7164
3.000,5,12.8569,-6.3429,-4.1642
3.000,6,13.6886,-7.2639,-4.9598
3.000,7,12.6683,-7.4954,-5.8197
3.000,8,11.5317,-7.9440,-4.9064
3.000,9,11.6983,-9.3856,-4.7225
4.000,0,16.0419,-0.9042,-5.0251
4.000,1,17.0842,-2.1730,-4.8111
4.000,2,17.1344,-3.4195,-5.7319
4.000,3,15.7594,-3.5890,-4.5344
4.000,4,15.1964,-4.2118,-5.7306
4.000,5,15.9158,-4.8718,-3.5891
4.000,6,16.4637,-5.4688,-4.8535
4.000,7,15.4900,-5.7263,-5.8832
4.000,8,13.7428,-5.5252,-4.8392
4.000,9,13.9203,-6.9825,-4.9183
5.000,0,19.6401,-0.2208,-5.4107
5.000,1,20.3452,-1.0992,-4.1319
5.000,2,19.4882,-1.3150,-5.4644
5.000,3,18.1850,-1.4131,-4.6418
5.000,4,17.3373,-1.7295,-5.8097
5.000,5,17.9795,-2.3369,-3.7075
5.000,6,18.4907,-2.8814,-5.0575
5.000,7,17.4455,-3.0638,-5.7975
5.000,8,16.0303,-3.1728,-4.9439
5.000,9,16.1862,-4.6166,-5.0913
6.000,0,20.4752,2.1501,-5.4895
6.000,1,21.3143,0.7845,-4.1577
6.000,2,21.4941,0.1803,-6.1250
6.000,3,19.8330,1.2105,-4.6214
6.000,4,19.0961,0.8360,-5.9036
6.000,5,19.8593,-0.1636,-3.6141
6.000,6,20.8131,-0.7075,-4.7020
6.000,7,19.7041,-0.7160,-5.8875
6.000,8,18.2613,-0.7722,-4.5989
6.000,9,18.4325,-2.2246,-5.1265
7.000,0,20.1079,1.0912,-5.8519
7.000,1,21.5512,0.5032,-4.3555
7.000,2,21.4331,-0.0858,-5.5323
7.000,3,20.2310,1.0830,-3.8367
7.000,4,18.4753,0.6031,-6.0582
7.000,5,19.3205,-0.7374,-3.3411
7.000,6,20.9461,-1.1386,-4.4291
7.000,7,20.0125,-0.4233,-6.5303
7.000,8,19.2542,0.5728,-4.6619
7.000,9,19.8378,-0.7523,-4.9483
8.000,0,20.3249,1.0883,-5.8838
8.000,1,21.3232,0.0014,-4.4726
8.000,2,20.9918,-0.2349,-5.9493
8.000,3,19.9688,0.5076,-3.6912
8.000,4,18.4360,-0.4696,-5.4470
8.000,5,18.8185,-1.0090,-4.5172
8.000,6,20.4019,-1.4436,-4.6706
8.000,7,19.5705,-1.0561,-5.6988
8.000,8,18.8837,1.1804,-4.7556
8.000,9,20.1168,0.2110,-4.8851
9.000,0,20.1515,1.6158,-5.3418
9.000,1,21.8805,0.1821,-4.8415
9.000,2,21.0296,0.0428,-6.4292
9.000,3,20.4452,0.7085,-3.5933
9.000,4,18.8436,0.2956,-6.2981
9.000,5,18.6099,-0.4549,-3.8204
9.000,6,20.5368,-1.0202,-3.8410
9.000,7,19.7306,-1.0163,-5.9990
9.000,8,19.0051,0.5758,-4.7491
9.000,9,20.3176,-0.0357,-5.0420
10.000,0,20.1856,1.3918,-5.2278
10.000,1,21.5661,0.0310,-4.8716
10.000,2,20.8600,-0.0818,-6.5524
10.000,3,20.3474,0.4411,-3.7720
10.000,4,19.2431,0.2132,-6.4296
10.000,5,18.8006,-1.0688,-4.2223
10.000,6,20.2518,-0.9906,-4.0400
10.000,7,19.4771,-1.5081,-5.4387
10.000,8,18.9690,0.5599,-4.4370
10.000,9,20.0988,-0.0696,-5.2772
11.000,0,20.4105,1.7465,-5.4555
11.000,1,21.7742,0.1655,-5.0025
11.000,2,20.9307,-0.3111,-6.1352
11.000,3,19.9001,0.5805,-3.4937
11.000,4,18.8686,0.3098,-6.1781
11.000,5,18.6749,-0.7839,-3.8705
11.000,6,20.7263,-0.9072,-4.1978
11.000,7,19.6599,-0.7782,-5.8672
11.000,8,18.8045,0.4890,-4.6242
11.000,9,20.3025,0.2950,-4.9714
12.000,0,20.1953,1.4418,-5.4307
12.000,1,21.6245,0.1756,-4.5264
12.000,2,21.1459,-0.3015,-6.3596
12.000,3,20.2968,0.6861,-3.8229
12.000,4,18.8475,0.2770,-6.1452
12.000,5,18.9120,-0.9016,-3.9921
12.000,6,20.4331,-1.1761,-4.2958
12.000,7,19.6079,-1.1436,-5.9288
12.000,8,18.9506,0.4728,-4.6737
12.000,9,20.2560,0.0053,-5.2241
13.000,0,20.2575,1.6413,-5.4194
13.000,1,21.7238,0.1363,-5.0209
13.000,2,20.9433,-0.1511,-6.3491
13.000,3,20.1312,0.4538,-3.5910
13.000,4,18.9627,0.1537,-6.3768
13.000,5,18.7077,-0.8412,-4.0216
13.000,6,20.4329,-0.8221,-4.0594
13.000,7,19.6015,-1.0478,-5.6890
13.000,8,18.8339,0.5545,-4.5705
13.000,9,20.1755,0.2182,-5.1073
