sim_time,agent_id,x,y,z
0.000,0,-3.3698,-6.7233,-5.5344
0.000,1,-6.3840,-3.5524,-4.7286
0.000,2,-2.1627,-2.0771,-5.5810
0.000,3,-3.7284,6.9865,-4.7039
0.000,4,1.7461,-5.2618,-4.5417
0.000,5,-5.3856,-1.9287,-4.0210
0.000,6,2.2400,0.9112,-4.6308
0.000,7,5.4856,4.4160,-5.5419
0.000,8,-2.9652,2.4870,-5.2087
0.000,9,6.6328,-0.6584,-5.4702
1.000,0,-3.3696,-6.7234,-5.5345
1.000,1,-6.3838,-3.5527,-4.7287
1.000,2,-2.1621,-2.0776,-5.5810
1.000,3,-3.7286,6.9864,-4.7040
1.000,4,1.7466,-5.2617,-4.5417
1.000,5,-5.3855,-1.9291,-4.0210
1.000,6,2.2396,0.9122,-4.6307
1.000,7,5.4854,4.4162,-5.5419
1.000,8,-2.9654,2.4866,-5.2087
1.000,9,6.6328,-0.6580,-5.4701
2.000,0,-3.3692,-6.7237,-5.5347
2.000,1,-6.3834,-3.5532,-4.7288
2.000,2,-2.1611,-2.0787,-5.5809
2.000,3,-3.7290,6.9862,-4.7040
2.000,4,1.7474,-5.2616,-4.5417
2.000,5,-5.3851,-1.9300,-4.0210
2.000,6,2.2388,0.9144,-4.6304
2.000,7,5.4851,4.4166,-5.5420
2.000,8,-2.9660,2.4857,-5.2086
2.000,9,6.6328,-0.6573,-5.4700
3.000,0,-3.3687,-6.7240,-5.5348
3.000,1,-6.3831,-3.5539,-4.7289
3.000,2,-2.1597,-2.0801,-5.5807
3.000,3,-3.7295,6.9860,-4.7041
3.000,4,1.7483,-5.2614,-4.5418
3.000,5,-5.3849,-1.9310,-4.0209
3.000,6,2.2378,0.9169,-4.6301
3.000,7,5.4846,4.4171,-5.5422
3.000,8,-2.9668,2.4847,-5.2083
3.000,9,6.6328,-0.6566,-5.4699
4.000,0,-3.3682,-6.7243,-5.5350
4.000,1,-6.3829,-3.5546,-4.7292
4.000,2,-2.1583,-2.0818,-5.5805
4.000,3,-3.7300,6.9858,-4.7042
4.000,4,1.7491,-5.2611,-4.5418
4.000,5,-5.3845,-1.9320,-4.0209
4.000,6,2.2367,0.9193,-4.6298
4.000,7,5.4841,4.4177,-5.5424
4.000,8,-2.9678,2.4836,-5.2081
4.000,9,6.6327,-0.6560,-5.4699
5.000,0,-3.3676,-6.7246,-5.5352
5.000,1,-6.3827,-3.5553,-4.7294
5.000,2,-2.1567,-2.0835,-5.5804
5.000,3,-3.7306,6.9856,-4.7043
5.000,4,1.7501,-5.2606,-4.5417
5.000,5,-5.3843,-1.9330,-4.0207
5.000,6,2.2356,0.9219,-4.6295
5.000,7,5.4835,4.4183,-5.5426
5.000,8,-2.9688,2.4825,-5.2078
5.000,9,6.6328,-0.6554,-5.4700
6.000,0,-3.3670,-6.7249,-5.5354
6.000,1,-6.3825,-3.5559,-4.7296
6.000,2,-2.1552,-2.0850,-5.5803
6.000,3,-3.7311,6.9852,-4.7043
6.000,4,1.7510,-5.2603,-4.5416
6.000,5,-5.3840,-1.9339,-4.0207
6.000,6,2.2344,0.9245,-4.6293
6.000,7,5.4831,4.4188,-5.5428
6.000,8,-2.9698,2.4814,-5.2074
6.000,9,6.6328,-0.6546,-5.4700
7.000,0,-3.3663,-6.7252,-5.5357
7.000,1,-6.3823,-3.5563,-4.7298
7.000,2,-2.1537,-2.0866,-5.5802
7.000,3,-3.7316,6.9849,-4.7045
7.000,4,1.7519,-5.2599,-4.5416
7.000,5,-5.3838,-1.9348,-4.0207
7.000,6,2.2332,0.9274,-4.6292
7.000,7,5.4828,4.4192,-5.5430
7.000,8,-2.9708,2.4803,-5.2073
7.000,9,6.6329,-0.6538,-5.4701
