sim_time,agent_id,x,y,z
0.000,0,1.3668,0.2123,-4.4175
0.000,1,2.4662,-1.0841,-4.7445
0.000,2,2.8227,-2.6593,-5.6349
0.000,3,2.7674,-4.3889,-5.5120
0.000,4,3.0740,-5.9828,-4.8031
0.000,5,4.2124,-7.2646,-4.2839
0.000,6,5.3483,-8.5472,-4.8036
0.000,7,5.5754,-10.1705,-5.5867
0.000,8,5.5690,-11.8814,-5.3542
0.000,9,5.9076,-13.4630,-4.8253
0.000,10,7.0496,-14.7430,-4.5455
0.000,11,8.0666,-16.0700,-4.7656
0.000,12,8.5354,-17.6027,-5.5093
0.000,13,8.3904,-19.3659,-5.4605
0.000,14,8.7863,-20.9261,-4.9259
1.000,0,3.7825,0.2253,-4.6577
1.000,1,4.8912,-1.0756,-4.8563
1.000,2,5.2487,-2.6532,-5.3543
1.000,3,5.1941,-4.3845,-5.2890
1.000,4,5.5012,-5.9798,-4.8871
1.000,5,6.6182,-7.2455,-4.5904
1.000,6,7.5663,-8.3202,-4.8636
1.000,7,7.4812,-9.6108,-5.3787
1.000,8,7.1304,-10.9588,-5.2773
1.000,9,7.1543,-12.2210,-4.8775
1.000,10,8.0300,-13.2388,-4.6082
1.000,11,8.8375,-14.3644,-4.8344
1.000,12,9.0047,-15.6146,-5.3977
1.000,13,8.6306,-17.1633,-5.3056
1.000,14,8.8460,-18.5601,-4.9439
2.000,0,7.7905,0.2481,-4.9360
2.000,1,8.9120,-1.0614,-4.9800
2.000,2,9.2697,-2.6391,-5.0447
2.000,3,9.2100,-4.3638,-5.0692
2.000,4,9.3073,-5.7274,-5.2187
2.000,5,10.1929,-6.7101,-4.6134
2.000,6,11.2041,-7.8286,-4.3174
2.000,7,10.3537,-8.2495,-5.9343
2.000,8,9.4764,-9.0175,-6.1640
2.000,9,9.0329,-9.8027,-4.3775
2.000,10,9.9620,-10.8930,-3.7828
2.000,11,10.7308,-11.9596,-4.6324
2.000,12,10.3975,-12.7742,-6.0320
2.000,13,9.2185,-13.6210,-5.1629
2.000,14,9.4737,-15.0710,-4.8374
3.000,0,11.9875,0.2618,-5.0365
3.000,1,13.1092,-1.0513,-5.0204
3.000,2,13.4733,-2.6290,-4.9610
3.000,3,13.3044,-4.2240,-4.6882
3.000,4,13.2016,-5.3322,-5.9007
3.000,5,13.5934,-5.7282,-4.3512
3.000,6,14.6001,-6.8628,-4.5407
3.000,7,13.2643,-6.6363,-5.2542
3.000,8,12.1099,-7.0801,-6.2334
3.000,9,11.3078,-7.4935,-4.8143
3.000,10,12.0058,-8.3596,-3.7293
3.000,11,12.5501,-9.2068,-4.8287
3.000,12,11.7299,-9.5985,-5.9551
3.000,13,10.3274,-10.2982,-5.1022
3.000,14,10.5538,-11.7280,-4.8261
4.000,0,16.2061,0.2715,-5.0109
4.000,1,17.3230,-1.0412,-4.9456
4.000,2,17.5805,-2.5013,-5.4355
4.000,3,16.7157,-3.2815,-4.8373
4.000,4,16.2291,-3.9225,-6.2001
4.000,5,16.5077,-4.1298,-3.3760
4.000,6,17.2276,-4.9442,-4.9195
4.000,7,15.8031,-4.5987,-4.7792
4.000,8,14.7433,-5.0934,-6.0565
4.000,9,13.6826,-5.2475,-5.0517
4.000,10,14.0956,-5.8191,-3.7749
4.000,11,14.5626,-6.5985,-4.9869
4.000,12,13.3167,-6.6179,-5.7595
4.000,13,11.9821,-7.3973,-5.1111
4.000,14,12.2134,-8.8354,-4.8455
5.000,0,20.1502,0.5685,-5.3517
5.000,1,21.0071,-0.5076,-4.2895
5.000,2,20.3598,-0.9078,-5.7593
5.000,3,18.6912,-0.7007,-4.7974
5.000,4,18.3023,-1.4166,-6.0642
5.000,5,18.7673,-1.8097,-3.7635
5.000,6,19.0739,-2.1762,-5.1402
5.000,7,17.5667,-1.7710,-4.7872
5.000,8,17.3644,-3.0983,-5.5671
5.000,9,15.8852,-2.8110,-5.1281
5.000,10,16.4853,-3.5686,-3.8779
5.000,11,16.8291,-4.2366,-5.1420
5.000,12,15.3547,-4.0516,-5.3835
5.000,13,14.0867,-4.8823,-5.0878
5.000,14,14.3340,-6.3346,-4.8667
6.000,0,20.6178,1.8029,-5.5785
6.000,1,21.1755,0.4870,-4.1095
6.000,2,22.0064,0.5852,-5.7902
6.000,3,19.7581,1.9601,-4.3444
6.000,4,19.5461,0.9891,-6.3592
6.000,5,20.3803,-0.0452,-3.3548
6.000,6,20.9632,-0.0320,-5.1459
6.000,7,19.6466,0.4545,-4.6656
6.000,8,19.6654,-0.8215,-6.0715
6.000,9,18.0831,-0.3781,-5.5207
6.000,10,18.7446,-1.1844,-4.1060
6.000,11,19.5322,-2.3105,-4.9489
6.000,12,17.9901,-2.0568,-5.1909
6.000,13,16.4102,-2.5700,-4.9255
6.000,14,16.6817,-4.0376,-4.9329
