sim_time,agent_id,x,y,z
0.000,0,-1.0594,-0.6297,-5.8272
0.000,1,-0.9023,-0.5006,-4.5589
0.000,2,-1.9024,0.7083,-5.8518
0.000,3,-2.0154,0.7741,-3.9210
0.000,4,0.3435,0.4876,-5.9758
0.000,5,0.0011,0.2760,-3.8862
0.000,6,-0.6930,1.6466,-5.6722
0.000,7,-0.9527,1.3941,-4.0829
0.000,8,-0.8531,-0.4980,-7.3099
0.000,9,-1.1195,-0.3893,-2.8679
0.000,10,-1.6794,0.5008,-8.0282
0.000,11,-1.9917,0.4493,-2.3900
0.000,12,0.5342,0.2317,-7.1970
0.000,13,0.0509,0.2135,-2.6694
0.000,14,-0.8106,1.8358,-7.2461
1.000,0,1.4075,-0.6373,-6.1027
1.000,1,1.5703,-0.5040,-4.7364
1.000,2,0.4845,0.6926,-5.5753
1.000,3,0.3749,0.7594,-4.1850
1.000,4,2.7221,0.5155,-5.2749
1.000,5,2.3423,0.3155,-3.9322
1.000,6,1.6983,1.6467,-5.5821
1.000,7,1.4284,1.3924,-4.1304
1.000,8,1.6196,-0.5007,-7.5833
1.000,9,1.3472,-0.4008,-3.2331
1.000,10,0.6854,0.4808,-7.2458
1.000,11,0.3945,0.4286,-2.6468
1.000,12,2.9361,0.2599,-6.7731
1.000,13,2.3933,0.2664,-2.4266
1.000,14,1.5800,1.8353,-7.0711
2.000,0,5.4619,-0.6081,-6.2537
2.000,1,5.6217,-0.4734,-4.7828
2.000,2,4.4246,0.7138,-5.5327
2.000,3,4.3139,0.7781,-4.0602
2.000,4,6.7169,0.5507,-5.1904
2.000,5,6.3296,0.3571,-3.8604
2.000,6,5.6738,1.6686,-5.2578
2.000,7,5.3948,1.4122,-3.7922
2.000,8,5.6686,-0.4644,-7.7172
2.000,9,5.4022,-0.3692,-3.3585
2.000,10,4.5927,0.5081,-7.1147
2.000,11,4.3208,0.4512,-2.5661
2.000,12,6.9306,0.2931,-6.7122
2.000,13,6.3900,0.3130,-2.2995
2.000,14,5.5537,1.8533,-6.7248
3.000,0,9.6670,-0.5881,-6.1377
3.000,1,9.8222,-0.4538,-4.7281
3.000,2,8.6105,0.7369,-5.6516
3.000,3,8.4934,0.8037,-4.2321
3.000,4,10.9092,0.5693,-5.3913
3.000,5,10.5251,0.3802,-4.0147
3.000,6,9.8525,1.6868,-4.7816
3.000,7,9.5736,1.4305,-3.3101
3.000,8,9.8750,-0.4405,-7.5970
3.000,9,9.6078,-0.3467,-3.2453
3.000,10,8.7724,0.5336,-7.0990
3.000,11,8.5061,0.4761,-2.7790
3.000,12,11.1272,0.3131,-6.8347
3.000,13,10.5843,0.3381,-2.5131
3.000,14,9.7319,1.8703,-6.2603
4.000,0,13.8875,-0.5754,-6.1669
4.000,1,14.0361,-0.4395,-4.8011
4.000,2,12.8226,0.7521,-5.6838
4.000,3,12.7067,0.8165,-4.2588
4.000,4,15.1205,0.5820,-5.3164
4.000,5,14.7369,0.3934,-3.9715
4.000,6,14.0592,1.6981,-4.7330
4.000,7,13.7864,1.4433,-3.2787
4.000,8,14.0956,-0.4266,-7.6194
4.000,9,13.8270,-0.3323,-3.3077
4.000,10,12.9888,0.5504,-7.1433
4.000,11,12.7231,0.4913,-2.7895
4.000,12,15.3508,0.3247,-6.7470
4.000,13,14.8010,0.3532,-2.4863
4.000,14,13.9451,1.8819,-6.2274
5.000,0,18.1074,-0.5648,-6.0241
5.000,1,18.2560,-0.4331,-4.7615
5.000,2,17.0398,0.7615,-5.6086
5.000,3,16.9277,0.8263,-4.2708
5.000,4,19.3347,0.5894,-5.2341
5.000,5,18.9544,0.4028,-3.9951
5.000,6,18.2770,1.7115,-4.8750
5.000,7,18.0029,1.4481,-3.4143
5.000,8,18.3137,-0.4159,-7.4712
5.000,9,18.0483,-0.3218,-3.3117
5.000,10,17.2105,0.5610,-7.1193
5.000,11,16.9359,0.5026,-2.7785
5.000,12,19.5739,0.3322,-6.6924
5.000,13,19.0202,0.3630,-2.4893
5.000,14,18.1498,1.8846,-6.3604
6.000,0,20.7927,-1.3710,-6.0955
6.000,1,20.6613,-1.6948,-4.7312
6.000,2,19.5178,0.0360,-5.6848
6.000,3,19.3683,0.0156,-4.3016
6.000,4,22.3810,0.6548,-5.3517
6.000,5,21.8420,-0.3580,-4.5459
6.000,6,21.0519,0.9045,-4.7818
6.000,7,20.8915,1.1552,-3.4293
6.000,8,21.1784,-0.7260,-7.4441
6.000,9,20.6138,-1.0420,-3.3801
6.000,10,19.9972,0.1095,-7.0757
6.000,11,19.8775,0.2376,-2.8711
6.000,12,22.1557,0.1100,-6.7112
6.000,13,21.6463,0.0781,-3.0935
6.000,14,20.9555,0.8374,-6.2881
7.000,0,19.4503,-1.2636,-6.1229
7.000,1,19.6804,-2.2779,-4.6323
7.000,2,17.9063,0.1026,-5.4788
7.000,3,17.8821,-0.0765,-3.8793
7.000,4,21.3393,1.3773,-4.1922
7.000,5,20.7298,-1.5249,-5.1212
7.000,6,19.0479,0.3592,-4.6436
7.000,7,20.1295,1.8841,-4.5784
7.000,8,20.7158,-0.0741,-6.8271
7.000,9,19.2327,-0.8249,-4.2406
7.000,10,18.4960,0.1840,-7.0535
7.000,11,19.4130,0.6942,-3.2086
7.000,12,20.9998,0.4100,-5.2574
7.000,13,20.5336,-0.1017,-4.1770
7.000,14,19.4165,0.3842,-6.0059
8.000,0,19.4640,-1.2016,-6.4296
8.000,1,20.0878,-1.4741,-3.8670
8.000,2,18.4086,0.3311,-5.8280
8.000,3,19.2445,-0.3327,-3.4436
8.000,4,21.5637,0.6179,-4.0986
8.000,5,21.6998,-1.2588,-5.2360
8.000,6,18.7039,1.4911,-4.3544
8.000,7,19.4462,1.7860,-5.5430
8.000,8,21.0331,-0.5309,-6.1276
