sim_time,agent_id,x,y,z
0.000,0,1.3668,0.2123,-4.4175
0.000,1,2.4662,-1.0841,-4.7445
0.000,2,2.8227,-2.6593,-5.6349
0.000,3,2.7674,-4.3889,-5.5120
0.000,4,3.0740,-5.9828,-4.8031
0.000,5,4.2124,-7.2646,-4.2839
0.000,6,5.3483,-8.5472,-4.8036
0.000,7,5.5754,-10.1705,-5.5867
0.000,8,5.5690,-11.8814,-5.3542
0.000,9,5.9076,-13.4630,-4.8253
0.000,10,7.0496,-14.7430,-4.5455
0.000,11,8.0666,-16.0700,-4.7656
0.000,12,8.5354,-17.6027,-5.5093
0.000,13,8.3904,-19.3659,-5.4605
0.000,14,8.7863,-20.9261,-4.9259
1.000,0,3.7825,0.2253,-4.6577
1.000,1,4.8912,-1.0756,-4.8563
1.000,2,5.2487,-2.6532,-5.3543
1.000,3,5.1941,-4.3845,-5.2890
1.000,4,5.5012,-5.9798,-4.8871
1.000,5,6.6182,-7.2455,-4.5904
1.000,6,7.5663,-8.3202,-4.8636
1.000,7,7.4812,-9.6108,-5.3787
1.000,8,7.1304,-10.9588,-5.2773
1.000,9,7.1543,-12.2210,-4.8775
1.000,10,8.0300,-13.2388,-4.6082
1.000,11,8.8375,-14.3644,-4.8344
1.000,12,9.0047,-15.6146,-5.3977
1.000,13,8.6306,-17.1633,-5.3056
1.000,14,8.8460,-18.5601,-4.9439
2.000,0,7.7905,0.2481,-4.9360
2.000,1,8.9120,-1.0614,-4.9800
2.000,2,9.2697,-2.6391,-5.0447
2.000,3,9.2100,-4.3638,-5.0692
2.000,4,9.3073,-5.7274,-5.2187
2.000,5,10.1929,-6.7101,-4.6134
2.000,6,11.2041,-7.8286,-4.3174
2.000,7,10.3537,-8.2495,-5.9343
2.000,8,9.4764,-9.0175,-6.1640
2.000,9,9.0329,-9.8027,-4.3775
2.000,10,9.9620,-10.8930,-3.7828
2.000,11,10.7308,-11.9596,-4.6324
2.000,12,10.3975,-12.7742,-6.0320
2.000,13,9.2185,-13.6210,-5.1629
2.000,14,9.4737,-15.0710,-4.8374
3.000,0,11.9875,0.2618,-5.0365
3.000,1,13.1092,-1.0513,-5.0204
3.000,2,13.4733,-2.6290,-4.9610
3.000,3,13.3044,-4.2240,-4.6882
3.000,4,13.2016,-5.3322,-5.9007
3.000,5,13.5934,-5.7282,-4.3512
3.000,6,14.6001,-6.8628,-4.5407
3.000,7,13.2643,-6.6363,-5.2542
3.000,8,12.1099,-7.0801,-6.2334
3.000,9,11.3078,-7.4935,-4.8143
3.000,10,12.0058,-8.3596,-3.7293
3.000,11,12.5501,-9.2068,-4.8287
3.000,12,11.7299,-9.5985,-5.9551
3.000,13,10.3274,-10.2982,-5.1022
3.000,14,10.5538,-11.7280,-4.8261
4.000,0,16.2061,0.2715,-5.0109
4.000,1,17.3230,-1.0412,-4.9452
4.000,2,17.5804,-2.5012,-5.4449
4.000,3,16.6836,-3.2465,-4.8186
4.000,4,16.2417,-3.9351,-6.1686
4.000,5,16.5139,-4.1338,-3.3950
4.000,6,17.2285,-4.9452,-4.9369
4.000,7,15.8194,-4.6157,-4.7732
4.000,8,14.7381,-5.0881,-6.0640
4.000,9,13.6836,-5.2485,-5.0523
4.000,10,14.0957,-5.8192,-3.7747
