sim_time,agent_id,x,y,z
0.000,0,-0.1617,0.6307,-5.8269
0.000,1,-0.0803,0.4445,-4.5591
0.000,2,1.3553,1.0777,-5.8520
0.000,3,1.4492,1.1687,-3.9207
0.000,4,0.5315,-1.0233,-5.9772
0.000,5,0.4211,-0.6365,-3.8852
0.000,6,1.9290,-0.3414,-5.6724
0.000,7,1.7566,-0.0229,-4.0824
0.000,8,-0.0912,0.3963,-7.3098
0.000,9,0.0860,0.6231,-2.8672
1.000,0,0.3330,0.6680,-5.9458
1.000,1,0.3797,0.5459,-4.3637
1.000,2,1.8948,1.0512,-5.8171
1.000,3,1.9371,1.3484,-3.9237
1.000,4,1.0843,-0.9922,-5.9380
1.000,5,0.9445,-0.7748,-3.7991
1.000,6,2.4758,-0.3280,-5.6434
1.000,7,2.2734,-0.1652,-4.1610
1.000,8,0.3875,0.3669,-7.4083
1.000,9,0.6001,0.6140,-2.9405
2.000,0,1.2997,0.6858,-5.9138
2.000,1,1.3185,0.5973,-4.4265
2.000,2,2.9103,1.0291,-5.7548
2.000,3,2.9381,1.3978,-3.9857
2.000,4,2.1426,-0.9267,-5.8641
2.000,5,1.9810,-0.8144,-3.8149
2.000,6,3.5186,-0.3272,-5.6504
2.000,7,3.2981,-0.2205,-4.1906
2.000,8,1.3419,0.3642,-7.3797
2.000,9,1.5903,0.6103,-2.9484
3.000,0,2.4292,0.7080,-5.8970
3.000,1,2.4314,0.5951,-4.4312
3.000,2,4.0530,1.0216,-5.6849
3.000,3,4.0906,1.3518,-4.0744
3.000,4,3.3130,-0.8575,-5.7854
3.000,5,3.1314,-0.7903,-3.8861
3.000,6,4.6948,-0.3407,-5.6792
3.000,7,4.4673,-0.1994,-4.1864
3.000,8,2.4779,0.3472,-7.3505
3.000,9,2.7382,0.5991,-2.9462
4.000,0,3.6150,0.7313,-5.8941
4.000,1,3.5973,0.5646,-4.3933
4.000,2,5.2336,1.0030,-5.6162
4.000,3,5.2856,1.2762,-4.1667
4.000,4,4.4793,-0.8011,-5.7080
4.000,5,4.3124,-0.7454,-3.9779
4.000,6,5.9050,-0.3374,-5.6737
4.000,7,5.6755,-0.1628,-4.2120
4.000,8,3.6684,0.3110,-7.3316
4.000,9,3.9345,0.5771,-2.9484
5.000,0,4.8214,0.7516,-5.8701
5.000,1,4.7672,0.5310,-4.4075
5.000,2,6.4201,0.9711,-5.6367
5.000,3,6.4808,1.2510,-4.1658
5.000,4,5.6721,-0.7379,-5.6291
5.000,5,5.5032,-0.7067,-4.0721
5.000,6,7.1233,-0.3503,-5.6926
5.000,7,6.8926,-0.1715,-4.2165
5.000,8,4.8747,0.2652,-7.2863
5.000,9,5.1468,0.5487,-2.9484
6.000,0,6.0368,0.7846,-5.8637
6.000,1,5.9077,0.5298,-4.3952
6.000,2,7.6070,0.9370,-5.6505
6.000,3,7.6745,1.2411,-4.1708
6.000,4,6.8811,-0.6704,-5.5784
6.000,5,6.7071,-0.7145,-4.1259
6.000,6,8.3440,-0.3696,-5.7037
6.000,7,8.1134,-0.2049,-4.2314
6.000,8,6.0855,0.2050,-7.2440
6.000,9,6.3637,0.5169,-2.9728
7.000,0,7.2560,0.8193,-5.8476
7.000,1,7.0437,0.5081,-4.4040
7.000,2,8.7911,0.8970,-5.6498
7.000,3,8.8745,1.2009,-4.1929
7.000,4,8.0867,-0.6030,-5.6116
7.000,5,7.9189,-0.6996,-4.1082
7.000,6,9.5644,-0.3852,-5.7153
7.000,7,9.3350,-0.2244,-4.2432
7.000,8,7.2955,0.1374,-7.1807
7.000,9,7.5814,0.4814,-3.0062
8.000,0,8.4756,0.8605,-5.8263
8.000,1,8.1788,0.4627,-4.4194
8.000,2,9.9714,0.8527,-5.6667
8.000,3,10.0638,1.1642,-4.1966
8.000,4,9.2946,-0.5339,-5.6144
8.000,5,9.1256,-0.6653,-4.1311
8.000,6,10.7871,-0.4045,-5.7266
8.000,7,10.5558,-0.2478,-4.2514
8.000,8,8.5038,0.0634,-7.0933
8.000,9,8.7991,0.4417,-3.0585
9.000,0,9.6869,0.9073,-5.7970
9.000,1,9.2886,0.4125,-4.4431
9.000,2,11.1699,0.8251,-5.6725
9.000,3,11.2491,1.1290,-4.2063
9.000,4,10.5028,-0.4862,-5.6278
9.000,5,10.3299,-0.6438,-4.1455
9.000,6,12.0085,-0.4201,-5.7335
9.000,7,11.7784,-0.2750,-4.2591
9.000,8,9.7108,-0.0153,-6.9753
9.000,9,10.0165,0.4046,-3.1385
10.000,0,10.8908,0.9504,-5.7447
10.000,1,10.4011,0.3418,-4.4680
10.000,2,12.3869,0.8338,-5.6860
10.000,3,12.4336,1.0861,-4.2052
10.000,4,11.6915,-0.4988,-5.6706
10.000,5,11.5436,-0.6589,-4.1867
10.000,6,13.2304,-0.4145,-5.7395
10.000,7,13.0006,-0.3018,-4.2601
10.000,8,10.9082,-0.0890,-6.8307
10.000,9,11.2311,0.4199,-3.2084
11.000,0,12.1044,0.9642,-5.6790
11.000,1,11.5332,0.2503,-4.4928
11.000,2,13.6019,0.8273,-5.6958
11.000,3,13.6094,1.0364,-4.2097
11.000,4,12.9011,-0.5280,-5.6570
11.000,5,12.7577,-0.6960,-4.1845
11.000,6,14.4503,-0.4044,-5.7421
11.000,7,14.2219,-0.3314,-4.2615
11.000,8,12.0263,-0.1037,-6.7858
11.000,9,12.4410,0.4749,-3.2986
12.000,0,13.3161,0.9438,-5.6131
12.000,1,12.6662,0.1487,-4.5276
12.000,2,14.8068,0.8129,-5.7132
12.000,3,14.7811,0.9848,-4.2228
12.000,4,14.1183,-0.5321,-5.6475
12.000,5,13.9728,-0.7280,-4.1667
12.000,6,15.6714,-0.4112,-5.7437
12.000,7,15.4406,-0.3607,-4.2621
12.000,8,13.1281,-0.0881,-6.6884
12.000,9,13.6326,0.5296,-3.4317
13.000,0,14.5292,0.9367,-5.5003
13.000,1,13.7835,0.0326,-4.5767
13.000,2,16.0160,0.8046,-5.7648
13.000,3,15.9840,0.9559,-4.2724
13.000,4,15.3387,-0.5286,-5.6489
13.000,5,15.1870,-0.7410,-4.1740
13.000,6,16.8942,-0.4136,-5.7410
13.000,7,16.6596,-0.3834,-4.2608
13.000,8,14.2274,-0.1050,-6.5401
13.000,9,14.7454,0.5476,-3.5436
14.000,0,15.7435,0.9190,-5.3576
14.000,1,14.8856,-0.0935,-4.6600
14.000,2,17.2139,0.8064,-5.8175
14.000,3,17.1714,0.9166,-4.3212
14.000,4,16.5586,-0.5349,-5.6534
14.000,5,16.3996,-0.7378,-4.1767
14.000,6,18.1150,-0.3880,-5.7300
14.000,7,17.8789,-0.4057,-4.2483
14.000,8,15.3006,-0.1290,-6.3531
14.000,9,15.8380,0.5651,-3.6979
15.000,0,16.9582,0.8869,-5.2504
15.000,1,15.9823,-0.2133,-4.7521
15.000,2,18.3635,0.8282,-5.8622
15.000,3,18.2954,0.8530,-4.3625
15.000,4,17.7523,-0.5370,-5.6675
15.000,5,17.5865,-0.7165,-4.1843
15.000,6,19.2860,-0.3461,-5.7107
15.000,7,19.0601,-0.4352,-4.2290
15.000,8,16.3669,-0.1648,-6.1232
15.000,9,16.8964,0.5785,-3.8562
16.000,0,18.0647,0.8565,-5.3071
16.000,1,17.0369,-0.2935,-4.6642
16.000,2,19.4135,0.8934,-5.9200
16.000,3,19.2671,0.8001,-4.4258
16.000,4,18.7987,-0.5349,-5.6662
16.000,5,18.5801,-0.7124,-4.1959
16.000,6,20.2635,-0.3574,-5.6871
16.000,7,20.0603,-0.4995,-4.2071
16.000,8,17.3967,-0.2345,-6.1386
16.000,9,17.8922,0.5586,-3.7624
17.000,0,18.7989,0.8058,-5.2852
17.000,1,17.9788,-0.3323,-4.6930
17.000,2,20.1747,0.9056,-5.9686
17.000,3,20.0480,0.8000,-4.4776
17.000,4,19.5451,-0.5167,-5.6390
17.000,5,19.2601,-0.7750,-4.1937
17.000,6,21.0335,-0.3727,-5.6444
17.000,7,20.7472,-0.5624,-4.1800
17.000,8,18.1701,-0.2995,-6.2070
17.000,9,18.7567,0.5564,-3.7037
18.000,0,19.2106,0.8337,-5.2655
18.000,1,18.4725,-0.3484,-4.7650
18.000,2,20.5810,0.8477,-6.0512
18.000,3,20.5670,0.7835,-4.5485
18.000,4,19.9945,-0.4724,-5.5205
18.000,5,19.7142,-0.8939,-4.1114
18.000,6,21.4892,-0.3423,-5.5997
18.000,7,21.1856,-0.6012,-4.1450
18.000,8,18.6827,-0.2940,-6.2547
18.000,9,19.3148,0.5159,-3.7760
19.000,0,19.3740,0.9762,-5.3248
19.000,1,18.7220,-0.3871,-4.7560
19.000,2,20.6691,0.7703,-6.1675
19.000,3,20.8052,0.7664,-4.6688
19.000,4,20.1678,-0.4353,-5.2975
19.000,5,19.8710,-1.0516,-3.9663
19.000,6,21.6377,-0.2751,-5.5714
19.000,7,21.3040,-0.6070,-4.1409
19.000,8,19.0205,-0.2284,-6.2856
19.000,9,19.5832,0.4314,-3.8545
20.000,0,19.3967,1.0444,-5.2511
20.000,1,18.7663,-0.3975,-4.7975
20.000,2,20.5358,0.6550,-6.2570
20.000,3,20.8910,0.9039,-4.7272
20.000,4,20.1857,-0.4886,-5.1704
20.000,5,19.8106,-1.1743,-3.8809
20.000,6,21.6181,-0.2227,-5.5712
20.000,7,21.1748,-0.5566,-4.1498
20.000,8,19.2228,-0.1539,-6.2734
20.000,9,19.7388,0.3462,-3.9341
