sim_time,agent_id,x,y,z
0.000,0,0.5097,1.1345,-5.0167
0.000,1,-0.1688,0.5847,-5.2243
0.000,2,1.2094,0.3974,-5.0326
0.000,3,0.5010,1.2061,-5.8252
0.000,4,0.5752,1.2436,-4.1102
0.000,5,-0.2671,1.8723,-4.8036
0.000,6,1.2970,1.7959,-4.9202
0.000,7,0.2351,-0.4144,-4.9267
0.000,8,-0.1382,0.5878,-5.9439
0.000,9,-0.3080,0.6466,-4.1665
0.000,10,-0.6880,1.1833,-5.3928
0.000,11,1.1629,0.2324,-5.8690
0.000,12,1.3388,0.3184,-3.8724
0.000,13,-0.2340,1.8349,-6.0444
0.000,14,-0.1909,2.0461,-3.9037
0.000,15,1.8963,1.1408,-4.9284
0.000,16,1.2777,1.6614,-6.0709
0.000,17,1.3636,1.8230,-3.6493
0.000,18,0.6559,2.3709,-4.8851
0.000,19,0.4899,-0.0455,-5.8749
0.000,20,0.5477,-0.1144,-4.2130
0.000,21,-1.0506,1.3642,-6.2170
0.000,22,-0.9185,1.3372,-4.0471
0.000,23,1.9462,1.1684,-5.6521
0.000,24,2.0476,1.0207,-4.0839
0.000,25,0.4590,2.6073,-6.0852
0.000,26,0.5664,2.6563,-4.1082
0.000,27,-0.8927,-0.3446,-5.1624
0.000,28,1.6761,-0.3818,-4.8209
0.000,29,0.4827,1.1969,-6.9754
1.000,0,0.6422,1.1280,-4.9000
1.000,1,-0.1614,0.3812,-4.9552
1.000,2,1.2152,0.4685,-5.0624
1.000,3,0.5726,1.0503,-5.8505
1.000,4,0.6311,1.1283,-3.3845
1.000,5,-0.5398,2.2763,-4.9896
1.000,6,1.7321,2.0947,-4.7409
1.000,7,0.3871,-0.8984,-5.1112
1.000,8,-0.3462,0.3301,-6.5559
1.000,9,-0.3806,0.3280,-3.5774
1.000,10,-1.2059,1.1616,-5.2400
1.000,11,1.5321,0.1256,-6.3983
1.000,12,1.5456,0.1133,-3.2423
1.000,13,-0.4555,2.1059,-6.3736
1.000,14,-0.3450,2.2595,-3.2710
1.000,15,2.4256,1.1803,-4.9888
1.000,16,1.5720,1.9239,-6.5921
1.000,17,1.7119,2.1175,-3.2375
1.000,18,0.6340,2.8123,-5.2636
1.000,19,0.4557,-0.4741,-6.2303
1.000,20,0.5397,-0.4771,-3.7136
1.000,21,-1.4107,1.4635,-6.7526
1.000,22,-1.3560,1.4819,-3.7951
1.000,23,2.4097,1.1342,-6.0416
1.000,24,2.4379,1.0049,-3.5561
1.000,25,0.6149,3.0480,-6.4693
1.000,26,0.7442,3.0610,-3.6895
1.000,27,-1.1230,-0.7897,-5.1315
1.000,28,2.0572,-0.7539,-4.6954
1.000,29,0.6306,1.1910,-7.5612
2.000,0,1.0464,1.5880,-4.4288
2.000,1,0.2001,0.0614,-4.8429
2.000,2,1.8410,0.1513,-5.0169
2.000,3,1.2161,1.0067,-6.3070
2.000,4,1.2401,1.1068,-2.6685
2.000,5,-0.3157,2.6611,-4.9378
2.000,6,2.5999,2.4694,-4.4940
2.000,7,1.0815,-1.4645,-5.0409
2.000,8,-0.1997,0.1616,-7.2052
2.000,9,-0.1025,0.0881,-3.0433
2.000,10,-1.1827,1.0930,-5.2675
2.000,11,2.3495,-0.0141,-7.0125
2.000,12,2.2836,-0.1431,-2.6067
2.000,13,0.0306,2.3259,-6.5406
2.000,14,0.1317,2.4313,-2.7871
2.000,15,3.4059,1.0495,-4.7883
2.000,16,2.2772,2.2576,-7.0848
2.000,17,2.5618,2.3766,-2.8431
2.000,18,1.1954,3.2441,-5.3355
2.000,19,0.9732,-1.0040,-6.6515
2.000,20,1.0831,-0.9783,-3.4293
2.000,21,-1.3469,1.4136,-7.2334
2.000,22,-1.1377,1.5649,-3.7242
2.000,23,3.3292,1.0731,-6.5626
2.000,24,3.3382,0.9944,-3.0587
2.000,25,1.2377,3.4805,-7.0085
2.000,26,1.4793,3.3876,-3.4801
2.000,27,-0.6890,-1.2372,-5.1502
2.000,28,2.9496,-1.1382,-4.5791
2.000,29,1.3972,1.1284,-7.8309
3.000,0,1.9868,1.7343,-4.2766
3.000,1,1.0058,0.0974,-4.8225
3.000,2,2.8888,0.0219,-5.0084
3.000,3,2.2482,0.9666,-6.3465
3.000,4,2.2662,1.0657,-2.5899
3.000,5,0.5976,2.6762,-4.9184
3.000,6,3.7000,2.4941,-4.4431
3.000,7,2.1698,-1.5852,-4.9903
3.000,8,0.4213,0.1182,-7.2754
3.000,9,-0.0157,-0.5738,-3.0083
3.000,10,-0.3200,1.0151,-5.2626
3.000,11,3.4441,-0.0558,-7.0830
3.000,12,3.3634,-0.2127,-2.5547
3.000,13,1.0262,2.3014,-6.4984
3.000,14,1.1204,2.3838,-2.7678
3.000,15,4.5513,0.9472,-4.7173
3.000,16,3.3270,2.2703,-7.1095
3.000,17,3.6602,2.3560,-2.8616
3.000,18,2.2128,3.2415,-5.3215
3.000,19,2.0073,-1.1265,-6.7028
3.000,20,2.1242,-1.0987,-3.4441
3.000,21,-0.4811,1.3284,-7.2678
3.000,22,-0.2153,1.5218,-3.7749
3.000,23,4.4570,1.0156,-6.6317
3.000,24,4.4632,0.9523,-3.0364
3.000,25,2.2625,3.4717,-7.0717
3.000,26,2.5407,3.3426,-3.5152
3.000,27,0.3409,-1.3421,-5.1488
3.000,28,4.0864,-1.1979,-4.5695
3.000,29,2.4736,1.0741,-7.7850
4.000,0,3.1182,1.7057,-4.2776
4.000,1,2.1111,0.1347,-4.8256
4.000,2,4.0657,-0.0082,-5.0044
4.000,3,3.3991,0.9150,-6.1729
4.000,4,3.4194,1.0131,-2.7272
4.000,5,1.7124,2.5674,-4.9164
4.000,6,4.8758,2.3793,-4.4767
4.000,7,3.3652,-1.5383,-4.9750
4.000,8,1.3769,0.1261,-7.1624
4.000,9,0.8258,-0.8570,-3.1221
4.000,10,0.7558,0.9454,-5.2483
4.000,11,4.6253,-0.0565,-6.9534
4.000,12,4.5404,-0.2136,-2.7142
4.000,13,2.1615,2.1977,-6.3900
4.000,14,2.2483,2.2697,-2.9017
4.000,15,5.7474,0.8710,-4.7176
4.000,16,4.4803,2.1665,-6.9656
4.000,17,4.8275,2.2338,-3.0121
4.000,18,3.3552,3.0926,-5.2952
4.000,19,3.1855,-1.0993,-6.6042
4.000,20,3.3030,-1.0720,-3.5516
4.000,21,0.5615,1.3047,-7.1444
4.000,22,0.8920,1.4458,-3.8569
4.000,23,5.6441,0.9508,-6.5260
4.000,24,5.6479,0.8935,-3.1806
4.000,25,3.4034,3.3105,-6.9526
4.000,26,3.6909,3.1739,-3.6258
4.000,27,1.5454,-1.3111,-5.1385
4.000,28,5.2885,-1.1450,-4.5981
4.000,29,3.6440,1.0224,-7.6756
5.000,0,4.3036,1.6184,-4.3276
5.000,1,3.2992,0.1556,-4.8375
5.000,2,5.2772,-0.0105,-5.0014
5.000,3,4.5896,0.8606,-6.0099
5.000,4,4.6091,0.9543,-2.9299
5.000,5,2.8799,2.4234,-4.9134
5.000,6,6.0676,2.2249,-4.6169
5.000,7,4.5834,-1.4522,-5.0325
5.000,8,2.5129,0.0661,-6.9986
5.000,9,1.9683,-0.8951,-3.2763
5.000,10,1.8967,0.8830,-5.2903
5.000,11,5.8059,-0.0719,-6.7772
5.000,12,5.7414,-0.1952,-2.9391
5.000,13,3.3384,2.0703,-6.2705
5.000,14,3.4176,2.1354,-3.0804
5.000,15,6.9564,0.8015,-4.7888
5.000,16,5.6629,2.0243,-6.7719
5.000,17,6.0105,2.0725,-3.1219
5.000,18,4.5311,2.8976,-5.2660
5.000,19,4.3948,-1.0262,-6.4593
5.000,20,4.5104,-0.9862,-3.6232
5.000,21,1.6394,1.3363,-6.9742
5.000,22,2.0522,1.3856,-3.8888
5.000,23,6.8467,0.9067,-6.3561
5.000,24,6.8463,0.8286,-3.3280
5.000,25,4.5726,3.1009,-6.7781
5.000,26,4.8647,2.9649,-3.7572
5.000,27,2.7775,-1.2295,-5.1253
5.000,28,6.4997,-1.0576,-4.6402
