sim_time,agent_id,x,y,z
0.000,0,-0.0943,0.6003,-5.7754
0.000,1,-0.0178,0.4258,-4.5867
0.000,2,1.3280,1.0195,-5.7987
0.000,3,1.4159,1.1047,-3.9881
0.000,4,0.5557,-0.9503,-5.9160
0.000,5,0.4522,-0.5877,-3.9548
0.000,6,1.8659,-0.3110,-5.6304
0.000,7,1.7043,-0.0125,-4.1397
0.000,8,-0.5551,1.7852,-5.6657
0.000,9,-0.3889,1.9976,-4.5002
1.000,0,0.3448,0.4940,-6.0647
1.000,1,0.4073,0.5479,-4.4210
1.000,2,1.8438,1.0483,-5.7339
1.000,3,1.7437,1.3095,-3.9383
1.000,4,1.0404,-0.9165,-5.8347
1.000,5,0.9238,-0.7503,-3.7463
1.000,6,2.4087,-0.3508,-5.6851
1.000,7,2.2233,-0.1539,-4.2051
1.000,8,-0.1647,1.9372,-5.9481
1.000,9,0.1215,1.9926,-4.3010
2.000,0,1.2822,0.4315,-6.1495
2.000,1,1.3405,0.5524,-4.3868
2.000,2,2.8539,1.0427,-5.6602
2.000,3,2.6739,1.3923,-3.9705
2.000,4,2.0424,-0.8685,-5.7576
2.000,5,1.9249,-0.8177,-3.6955
2.000,6,3.4505,-0.3537,-5.7171
2.000,7,3.2475,-0.2142,-4.2446
2.000,8,0.7797,1.9499,-6.0220
2.000,9,1.1075,1.9912,-4.2298
3.000,0,2.4108,0.4146,-6.1000
3.000,1,2.4630,0.4829,-4.4238
3.000,2,4.0075,1.0102,-5.5883
3.000,3,3.8073,1.3582,-4.0504
3.000,4,3.2045,-0.8048,-5.6829
3.000,5,3.0949,-0.7882,-3.7655
3.000,6,4.6277,-0.3402,-5.7341
3.000,7,4.4113,-0.2084,-4.2509
3.000,8,1.9007,1.8739,-5.9793
3.000,9,2.2318,1.9746,-4.2455
4.000,0,3.5929,0.4084,-6.0220
4.000,1,3.6486,0.4373,-4.4831
4.000,2,5.1897,0.9902,-5.5374
4.000,3,4.9955,1.2882,-4.1228
4.000,4,4.4047,-0.7633,-5.5978
4.000,5,4.3000,-0.7411,-3.8641
4.000,6,5.8381,-0.3478,-5.7369
4.000,7,5.6154,-0.1810,-4.2664
4.000,8,3.0680,1.7883,-5.8983
4.000,9,3.4055,1.9023,-4.2963
5.000,0,4.7842,0.3777,-6.0180
5.000,1,4.8316,0.4048,-4.5524
5.000,2,6.3870,0.9623,-5.5822
5.000,3,6.1899,1.2167,-4.1007
5.000,4,5.6201,-0.7633,-5.4952
5.000,5,5.5118,-0.7625,-3.9127
5.000,6,7.0564,-0.3715,-5.7483
5.000,7,6.8318,-0.1395,-4.2824
5.000,8,4.2333,1.7566,-5.7992
5.000,9,4.5891,1.8659,-4.3467
6.000,0,5.9904,0.3342,-6.0775
6.000,1,6.0130,0.3750,-4.5601
6.000,2,7.5855,0.9297,-5.5869
6.000,3,7.3776,1.1657,-4.1167
6.000,4,6.8393,-0.7287,-5.4209
6.000,5,6.7296,-0.7975,-3.9474
6.000,6,8.2772,-0.3929,-5.7572
6.000,7,8.0527,-0.1383,-4.2955
6.000,8,5.4055,1.6900,-5.7612
6.000,9,5.7855,1.8454,-4.3342
7.000,0,7.1928,0.2998,-6.1008
7.000,1,7.2087,0.3353,-4.5940
7.000,2,8.7824,0.8925,-5.5893
7.000,3,8.5508,1.1407,-4.1317
7.000,4,8.0600,-0.7017,-5.4217
7.000,5,7.9497,-0.7938,-3.9271
7.000,6,9.4975,-0.4147,-5.7686
7.000,7,9.2734,-0.1723,-4.3060
7.000,8,6.5731,1.6150,-5.7453
7.000,9,6.9917,1.7942,-4.3033
8.000,0,8.3870,0.2690,-6.1404
8.000,1,8.4059,0.2880,-4.6385
8.000,2,9.9798,0.8542,-5.6028
8.000,3,9.7286,1.0929,-4.1385
8.000,4,9.2803,-0.6911,-5.4092
8.000,5,9.1724,-0.7779,-3.9108
8.000,6,10.7201,-0.4389,-5.7741
8.000,7,10.4942,-0.1860,-4.3135
8.000,8,7.7354,1.5506,-5.6993
8.000,9,8.1982,1.7326,-4.2945
9.000,0,9.5876,0.2326,-6.1764
9.000,1,9.5876,0.2424,-4.6712
9.000,2,11.1741,0.8150,-5.6076
9.000,3,10.8967,1.0416,-4.1512
9.000,4,10.5015,-0.6714,-5.3990
9.000,5,10.3940,-0.7658,-3.9097
9.000,6,11.9415,-0.4635,-5.7787
9.000,7,11.7170,-0.1982,-4.3196
9.000,8,8.8974,1.4657,-5.6646
9.000,9,9.4079,1.6792,-4.2694
10.000,0,10.7895,0.1954,-6.1967
10.000,1,10.7400,0.2007,-4.6851
10.000,2,12.3653,0.7737,-5.6122
10.000,3,12.0523,0.9910,-4.1582
10.000,4,11.7213,-0.6707,-5.4103
10.000,5,11.6098,-0.7478,-3.9123
10.000,6,13.1631,-0.4832,-5.7885
10.000,7,12.9395,-0.2060,-4.3306
10.000,8,10.0564,1.3688,-5.6145
10.000,9,10.6146,1.6321,-4.2499
11.000,0,11.9864,0.1624,-6.2176
11.000,1,11.8883,0.1468,-4.7123
11.000,2,13.5499,0.7309,-5.6135
11.000,3,13.1982,0.9307,-4.1670
11.000,4,12.9428,-0.6620,-5.4072
11.000,5,12.8216,-0.7188,-3.9146
11.000,6,14.3828,-0.5018,-5.7965
11.000,7,14.1611,-0.2039,-4.3439
11.000,8,11.2036,1.2643,-5.5572
11.000,9,11.8294,1.5747,-4.2337
12.000,0,13.1871,0.1340,-6.2281
12.000,1,13.0423,0.0838,-4.7394
12.000,2,14.7328,0.7048,-5.6149
12.000,3,14.3477,0.8549,-4.1689
12.000,4,14.1631,-0.6555,-5.4093
12.000,5,14.0358,-0.6787,-3.9098
12.000,6,15.6039,-0.5142,-5.8030
12.000,7,15.3802,-0.2039,-4.3503
12.000,8,12.3399,1.1504,-5.5155
12.000,9,13.0189,1.5135,-4.2291
13.000,0,14.3923,0.1116,-6.2148
13.000,1,14.1966,-0.0010,-4.7317
13.000,2,15.9345,0.7135,-5.6211
13.000,3,15.5081,0.7849,-4.1774
13.000,4,15.3800,-0.6719,-5.4015
13.000,5,15.2523,-0.6600,-3.8988
13.000,6,16.8266,-0.5041,-5.8014
13.000,7,16.6001,-0.2099,-4.3471
13.000,8,13.4479,1.0545,-5.5194
13.000,9,14.1566,1.4430,-4.2573
14.000,0,15.5948,0.1023,-6.1834
14.000,1,15.3382,-0.1098,-4.7134
14.000,2,17.1461,0.7277,-5.6374
14.000,3,16.6673,0.7688,-4.2158
14.000,4,16.5966,-0.6725,-5.3833
14.000,5,16.4711,-0.6995,-3.8942
14.000,6,18.0475,-0.4784,-5.7825
14.000,7,17.8209,-0.1784,-4.3319
14.000,8,14.5407,0.9396,-5.5241
14.000,9,15.2899,1.3566,-4.2974
15.000,0,16.7818,0.1200,-6.1571
15.000,1,16.4601,-0.2208,-4.7047
15.000,2,18.3144,0.7636,-5.6612
15.000,3,17.7883,0.7640,-4.2511
15.000,4,17.7805,-0.6694,-5.3675
15.000,5,17.6618,-0.7395,-3.8706
15.000,6,19.2315,-0.4836,-5.7736
15.000,7,18.9744,-0.1414,-4.3373
15.000,8,15.6010,0.7859,-5.5077
15.000,9,16.3840,1.2781,-4.3290
16.000,0,17.9034,0.1957,-6.1336
16.000,1,17.5170,-0.3145,-4.6702
16.000,2,19.2734,0.7812,-5.7042
16.000,3,18.7799,0.7649,-4.2758
16.000,4,18.8104,-0.6929,-5.3134
16.000,5,18.7042,-0.7731,-3.8184
16.000,6,20.2164,-0.4994,-5.8325
