sim_time,agent_id,x,y,z
0.000,0,-1.0501,-0.5564,-5.7752
0.000,1,-0.9030,-0.4355,-4.5866
0.000,2,-1.8405,0.6979,-5.7988
0.000,3,-1.9466,0.7594,-3.9881
0.000,4,0.2651,0.4909,-5.9159
0.000,5,-0.0559,0.2928,-3.9548
0.000,6,-0.7067,1.5777,-5.6304
0.000,7,-0.9501,1.3411,-4.1397
0.000,8,-2.0648,-1.3225,-5.6656
0.000,9,-2.3144,-1.2204,-4.5003
0.000,10,-2.8394,-0.3857,-6.3396
0.000,11,-3.1324,-0.4339,-4.0527
0.000,12,0.1252,-1.8460,-5.5595
0.000,13,-0.3279,-1.8631,-4.3159
0.000,14,-1.1356,-0.3423,-7.1068
1.000,0,-0.5064,-0.5373,-5.8920
1.000,1,-0.5916,-0.5298,-4.3143
1.000,2,-1.3648,0.6855,-5.7576
1.000,3,-1.6211,0.5293,-3.9213
1.000,4,0.7629,0.4523,-5.8233
1.000,5,0.3814,0.3847,-3.7493
1.000,6,-0.1731,1.6054,-5.7011
1.000,7,-0.4582,1.5209,-4.2294
1.000,8,-1.6624,-1.5470,-5.9527
1.000,9,-1.8209,-1.3667,-4.3242
1.000,10,-2.3786,-0.2673,-6.3969
1.000,11,-2.8775,-0.2642,-3.9199
1.000,12,0.6609,-1.7876,-5.6836
1.000,13,0.1855,-1.8301,-4.1675
1.000,14,-0.6855,-0.3144,-7.4379
2.000,0,0.5759,-0.5199,-5.9276
2.000,1,0.3330,-0.5824,-4.2474
2.000,2,-0.3904,0.6543,-5.6937
2.000,3,-0.7060,0.4172,-3.9199
2.000,4,1.7588,0.4157,-5.7436
2.000,5,1.3162,0.4759,-3.6368
2.000,6,0.8215,1.5918,-5.7494
2.000,7,0.5055,1.5882,-4.2868
2.000,8,-0.6864,-1.6339,-6.0468
2.000,9,-0.8627,-1.4627,-4.2664
2.000,10,-1.3853,-0.2103,-6.3617
2.000,11,-2.0337,-0.2016,-3.9010
2.000,12,1.7123,-1.6842,-5.7071
2.000,13,1.2310,-1.7587,-4.1364
2.000,14,0.3425,-0.3038,-7.4918
3.000,0,1.7758,-0.4932,-5.8855
3.000,1,1.5137,-0.5316,-4.3015
3.000,2,0.6933,0.6415,-5.5984
3.000,3,0.3484,0.4196,-3.9559
3.000,4,2.9118,0.3993,-5.6649
3.000,5,2.4468,0.4943,-3.6797
3.000,6,1.9443,1.5471,-5.7689
3.000,7,1.6108,1.5550,-4.3036
3.000,8,0.4977,-1.5971,-6.0139
3.000,9,0.2914,-1.4592,-4.2909
3.000,10,-0.2538,-0.2441,-6.3105
3.000,11,-0.9744,-0.2228,-3.9542
3.000,12,2.9021,-1.5648,-5.6678
3.000,13,2.4264,-1.7131,-4.1700
3.000,14,1.5544,-0.2652,-7.3548
4.000,0,2.9440,-0.5104,-5.7893
4.000,1,2.7008,-0.4693,-4.3570
4.000,2,1.8315,0.6659,-5.4959
4.000,3,1.4445,0.4627,-4.0213
4.000,4,4.1096,0.4090,-5.5776
4.000,5,3.6365,0.4761,-3.7279
4.000,6,3.1044,1.5005,-5.7814
4.000,7,2.7450,1.5206,-4.3281
4.000,8,1.7364,-1.5136,-5.9383
4.000,9,1.5202,-1.3951,-4.3398
4.000,10,0.9702,-0.2836,-6.2549
4.000,11,0.1700,-0.2834,-4.0315
4.000,12,4.1225,-1.4423,-5.6147
4.000,13,3.6494,-1.6352,-4.2243
4.000,14,2.7667,-0.2118,-7.2349
5.000,0,4.1357,-0.5025,-5.7591
5.000,1,3.8575,-0.4364,-4.2885
5.000,2,3.0191,0.6969,-5.4444
5.000,3,2.6202,0.5033,-4.0481
5.000,4,5.3203,0.3919,-5.4974
5.000,5,4.8458,0.5112,-3.7165
5.000,6,4.2884,1.4444,-5.7968
5.000,7,3.8920,1.4789,-4.3504
5.000,8,2.9757,-1.4492,-5.8427
5.000,9,2.6921,-1.3556,-4.3941
5.000,10,2.1565,-0.2491,-6.2121
5.000,11,1.3722,-0.3088,-4.1159
5.000,12,5.3471,-1.3424,-5.6221
5.000,13,4.8642,-1.5414,-4.2181
5.000,14,3.9651,-0.1463,-7.2188
6.000,0,5.3221,-0.4393,-5.7190
6.000,1,5.0179,-0.3923,-4.2470
6.000,2,4.2220,0.7190,-5.4516
6.000,3,3.8243,0.5108,-4.0027
6.000,4,6.5361,0.3731,-5.4227
6.000,5,6.0623,0.5433,-3.7216
6.000,6,5.4951,1.3871,-5.8096
6.000,7,5.0508,1.4240,-4.3804
6.000,8,4.1934,-1.4027,-5.8275
6.000,9,3.8349,-1.3139,-4.3775
6.000,10,3.3178,-0.2278,-6.1762
6.000,11,2.5691,-0.2985,-4.1989
6.000,12,6.5717,-1.2676,-5.6271
6.000,13,6.0820,-1.4490,-4.2148
6.000,14,5.1650,-0.0894,-7.1646
7.000,0,6.5172,-0.3898,-5.6580
7.000,1,6.1871,-0.3596,-4.2083
7.000,2,5.4130,0.6993,-5.4262
7.000,3,5.0121,0.5186,-3.9980
7.000,4,7.7533,0.3763,-5.3407
7.000,5,7.2799,0.5451,-3.7557
7.000,6,6.7108,1.3415,-5.8223
7.000,7,6.2215,1.3772,-4.4006
7.000,8,5.3865,-1.3704,-5.8174
7.000,9,4.9933,-1.2512,-4.3660
7.000,10,4.4713,-0.2281,-6.1353
7.000,11,3.7722,-0.2758,-4.2816
7.000,12,7.7939,-1.1781,-5.6259
7.000,13,7.3043,-1.3622,-4.2257
7.000,14,6.3611,-0.0372,-7.1084
8.000,0,7.7105,-0.3550,-5.6090
8.000,1,7.3605,-0.3505,-4.1509
8.000,2,6.6063,0.6585,-5.4476
8.000,3,6.1744,0.5557,-4.0048
8.000,4,8.9733,0.3710,-5.2522
8.000,5,8.4989,0.5375,-3.7909
8.000,6,7.9246,1.2838,-5.8081
8.000,7,7.4123,1.3644,-4.3900
8.000,8,6.5879,-1.3300,-5.7921
8.000,9,6.1426,-1.1917,-4.3767
8.000,10,5.6052,-0.2387,-6.0997
8.000,11,4.9658,-0.2596,-4.3670
8.000,12,9.0142,-1.0868,-5.6370
8.000,13,8.5266,-1.2891,-4.2304
8.000,14,7.5551,0.0115,-7.0555
9.000,0,8.9191,-0.3248,-5.5428
9.000,1,8.5337,-0.3369,-4.0970
9.000,2,7.7952,0.6385,-5.4580
9.000,3,7.3424,0.5769,-4.0304
9.000,4,10.1922,0.3700,-5.1867
9.000,5,9.7170,0.5279,-3.8076
9.000,6,9.1280,1.2265,-5.7996
9.000,7,8.5964,1.3301,-4.3948
9.000,8,7.7935,-1.2819,-5.7891
9.000,9,7.3036,-1.1500,-4.3740
9.000,10,6.7410,-0.2468,-6.0476
9.000,11,6.1391,-0.2233,-4.4501
9.000,12,10.2347,-1.0410,-5.6599
9.000,13,9.7475,-1.2055,-4.2499
9.000,14,8.7473,0.0540,-6.9827
10.000,0,10.1351,-0.3187,-5.4696
10.000,1,9.7135,-0.3119,-4.0337
10.000,2,8.9696,0.6344,-5.4756
10.000,3,8.5106,0.5804,-4.0504
10.000,4,11.4125,0.3860,-5.1875
10.000,5,10.9351,0.5138,-3.7602
10.000,6,10.3200,1.1839,-5.8126
10.000,7,9.7954,1.2630,-4.3970
10.000,8,8.9902,-1.2362,-5.7852
10.000,9,8.4849,-1.1040,-4.3804
10.000,10,7.8757,-0.2540,-5.9822
10.000,11,7.3052,-0.1772,-4.5330
10.000,12,11.4561,-1.0307,-5.6969
10.000,13,10.9648,-1.1049,-4.2795
10.000,14,9.9375,0.0939,-6.8974
11.000,0,11.3505,-0.3206,-5.3926
11.000,1,10.8936,-0.2918,-3.9663
11.000,2,10.1555,0.6006,-5.4978
11.000,3,9.6749,0.5767,-4.0726
11.000,4,12.6336,0.4024,-5.1698
11.000,5,12.1538,0.4844,-3.7564
11.000,6,11.5140,1.1471,-5.8181
11.000,7,11.0024,1.1850,-4.4051
11.000,8,10.1852,-1.1863,-5.7843
11.000,9,9.6594,-1.0363,-4.3886
11.000,10,9.0123,-0.2623,-5.9370
11.000,11,8.4675,-0.1446,-4.5871
11.000,12,12.6788,-0.9959,-5.7261
11.000,13,12.1814,-0.9883,-4.3109
11.000,14,11.1214,0.1263,-6.8055
12.000,0,12.5614,-0.3080,-5.3535
12.000,1,12.0822,-0.2881,-3.9186
12.000,2,11.3526,0.5571,-5.5159
12.000,3,10.8425,0.5587,-4.0974
12.000,4,13.8530,0.4274,-5.1684
12.000,5,13.3735,0.4563,-3.7492
12.000,6,12.7081,1.1534,-5.7966
12.000,7,12.1961,1.1190,-4.3906
12.000,8,11.3860,-1.1280,-5.7829
12.000,9,10.8295,-0.9606,-4.4004
12.000,10,10.1742,-0.2616,-5.9567
12.000,11,9.5925,-0.1167,-4.5652
12.000,12,13.9000,-0.9582,-5.7335
12.000,13,13.3971,-0.9006,-4.2968
12.000,14,12.2771,0.1044,-6.7707
13.000,0,13.7751,-0.2760,-5.3307
13.000,1,13.2830,-0.3274,-3.9038
13.000,2,12.5430,0.5403,-5.5271
13.000,3,12.0137,0.5389,-4.1156
13.000,4,15.0723,0.4667,-5.1650
13.000,5,14.5860,0.4850,-3.7482
13.000,6,13.8999,1.1512,-5.8010
13.000,7,13.3759,1.0941,-4.3945
13.000,8,12.5877,-1.0606,-5.7845
13.000,9,11.9901,-0.9000,-4.4192
13.000,10,11.3358,-0.2469,-5.9266
13.000,11,10.7284,-0.0912,-4.5684
13.000,12,15.1207,-0.9311,-5.7010
13.000,13,14.6149,-0.9245,-4.2596
13.000,14,13.4160,0.0786,-6.7408
14.000,0,14.9931,-0.2611,-5.2854
14.000,1,14.4613,-0.3615,-3.8934
14.000,2,13.7359,0.5239,-5.5366
14.000,3,13.1713,0.5740,-4.1259
14.000,4,16.2909,0.5173,-5.1814
14.000,5,15.7847,0.4917,-3.7744
14.000,6,15.0858,1.1412,-5.8081
14.000,7,14.5566,1.0681,-4.4089
14.000,8,13.7865,-0.9876,-5.8006
14.000,9,13.1458,-0.8957,-4.4442
14.000,10,12.4936,-0.2348,-5.9008
14.000,11,11.8819,-0.0643,-4.5429
14.000,12,16.3419,-0.9044,-5.6578
14.000,13,15.8335,-0.9434,-4.2494
14.000,14,14.5510,0.0564,-6.6811
15.000,0,16.1977,-0.2597,-5.2479
15.000,1,15.6018,-0.3823,-3.8749
15.000,2,14.8898,0.5414,-5.5240
15.000,3,14.3310,0.6013,-4.1272
15.000,4,17.5105,0.5693,-5.2113
15.000,5,16.9856,0.4743,-3.8078
15.000,6,16.2612,1.1358,-5.8080
15.000,7,15.7343,1.0421,-4.4003
15.000,8,14.9791,-0.9427,-5.8066
15.000,9,14.3008,-0.8670,-4.4736
15.000,10,13.6552,-0.2382,-5.8681
15.000,11,13.0339,-0.0442,-4.5148
15.000,12,17.5647,-0.8697,-5.6450
15.000,13,17.0520,-0.9528,-4.2352
15.000,14,15.7168,0.0201,-6.6556
16.000,0,17.3614,-0.2573,-5.2040
16.000,1,16.7228,-0.4002,-3.8553
16.000,2,16.0277,0.5869,-5.5434
16.000,3,15.4750,0.6133,-4.1164
16.000,4,18.7259,0.6256,-5.2447
16.000,5,18.1723,0.4675,-3.8605
16.000,6,17.4283,1.1321,-5.7898
16.000,7,16.8876,1.0215,-4.3936
16.000,8,16.1496,-0.9606,-5.7819
16.000,9,15.4243,-0.8347,-4.4799
16.000,10,14.8193,-0.2589,-5.8199
16.000,11,14.1650,-0.0122,-4.4984
16.000,12,18.7694,-0.8265,-5.6520
16.000,13,18.2631,-0.9801,-4.2483
16.000,14,16.8958,0.0152,-6.6402
17.000,0,18.4055,-0.2110,-5.1508
17.000,1,17.7877,-0.4137,-3.7900
17.000,2,17.1260,0.5967,-5.5648
17.000,3,16.5699,0.6267,-4.1147
17.000,4,19.8259,0.6587,-5.2733
17.000,5,19.2523,0.4274,-3.9031
17.000,6,18.5078,1.1567,-5.7932
17.000,7,17.9705,1.0295,-4.4005
17.000,8,17.2714,-0.9825,-5.7572
17.000,9,16.5035,-0.8326,-4.4748
17.000,10,15.9384,-0.2971,-5.7813
17.000,11,15.2458,0.0303,-4.4915
17.000,12,19.7753,-0.7861,-5.6959
17.000,13,19.3225,-1.0259,-4.2816
17.000,14,18.0332,-0.0025,-6.6097
18.000,0,19.2620,-0.1328,-5.1005
18.000,1,18.7288,-0.3772,-3.6760
18.000,2,18.0525,0.6102,-5.5443
18.000,3,17.5531,0.6237,-4.0771
18.000,4,20.6572,0.6385,-5.2441
18.000,5,20.0826,0.3338,-3.8837
18.000,6,19.3948,1.2160,-5.8376
18.000,7,18.9118,1.1360,-4.4113
18.000,8,18.2542,-1.0313,-5.7737
18.000,9,17.5176,-0.8357,-4.4702
18.000,10,16.9206,-0.3472,-5.8056
18.000,11,16.2419,0.0348,-4.5193
18.000,12,20.4785,-0.7733,-5.7376
18.000,13,20.0827,-1.1122,-4.3056
18.000,14,19.0343,-0.0421,-6.5796
19.000,0,19.7729,-0.0856,-5.0179
19.000,1,19.4374,-0.3768,-3.5112
19.000,2,18.6502,0.7439,-5.5603
19.000,3,18.3633,0.6099,-4.0200
19.000,4,21.2024,0.5905,-5.2123
19.000,5,20.6840,0.3063,-3.8251
19.000,6,20.0293,1.2630,-5.8725
19.000,7,19.6557,1.2864,-4.4147
19.000,8,19.0299,-1.1702,-5.8351
19.000,9,18.3814,-0.8146,-4.5258
19.000,10,17.7294,-0.4226,-5.8832
19.000,11,17.1006,0.0135,-4.5918
19.000,12,20.8838,-0.7799,-5.7744
19.000,13,20.5306,-1.1751,-4.3197
19.000,14,19.7425,-0.0512,-6.5335
20.000,0,20.0017,0.0213,-4.9391
20.000,1,19.8195,-0.4515,-3.3939
20.000,2,18.9429,0.8949,-5.5672
20.000,3,18.9629,0.6157,-4.0045
20.000,4,21.4955,0.5086,-5.2318
20.000,5,21.0692,0.3019,-3.8065
20.000,6,20.3815,1.3063,-5.8708
20.000,7,20.1652,1.4289,-4.3853
20.000,8,19.6087,-1.3559,-5.8347
20.000,9,18.9671,-0.8549,-4.5798
20.000,10,18.3909,-0.4810,-5.9797
20.000,11,17.7675,0.0324,-4.7201
20.000,12,21.0400,-0.8168,-5.7723
20.000,13,20.7325,-1.1509,-4.3562
20.000,14,20.0610,-0.0289,-6.4631
21.000,0,20.1516,0.1554,-4.9703
21.000,1,19.9613,-0.4842,-3.3606
21.000,2,19.0619,1.0479,-5.5219
21.000,3,19.2239,0.6978,-3.9164
21.000,4,21.6199,0.4780,-5.2617
21.000,5,21.1900,0.2380,-3.8507
21.000,6,20.5089,1.2931,-5.8694
21.000,7,20.4291,1.4918,-4.3626
21.000,8,19.9368,-1.5155,-5.7488
21.000,9,19.2019,-1.0203,-4.5183
21.000,10,18.8755,-0.4674,-6.0102
21.000,11,18.1655,0.0863,-4.8128
21.000,12,21.2370,-0.8529,-5.8444
21.000,13,20.7755,-1.1127,-4.4475
21.000,14,20.0984,-0.0332,-6.4540
22.000,0,20.1008,0.1400,-5.0239
22.000,1,19.9639,-0.4660,-3.3961
22.000,2,19.1120,1.1637,-5.5290
22.000,3,19.2918,0.8011,-3.8576
22.000,4,21.6833,0.5541,-5.2530
22.000,5,21.2060,0.1691,-3.8836
22.000,6,20.5592,1.2955,-5.9226
22.000,7,20.5397,1.4357,-4.4201
22.000,8,20.0119,-1.5793,-5.7084
22.000,9,19.2129,-1.1687,-4.4990
22.000,10,18.9989,-0.4999,-5.8734
22.000,11,18.2940,0.0840,-4.6800
22.000,12,21.3543,-0.7814,-5.8535
22.000,13,20.7547,-1.1101,-4.5076
22.000,14,20.2567,-0.0211,-6.5842
23.000,0,20.0649,0.0919,-5.0050
23.000,1,19.8649,-0.4435,-3.4661
23.000,2,19.0690,1.1430,-5.4897
23.000,3,19.3617,0.9101,-3.8860
23.000,4,21.6600,0.6536,-5.2277
23.000,5,21.1857,0.1379,-3.8965
23.000,6,20.4874,1.2969,-5.9728
23.000,7,20.6371,1.3958,-4.4899
23.000,8,20.0080,-1.5520,-5.7970
23.000,9,19.1961,-1.2487,-4.5507
23.000,10,18.9660,-0.4791,-5.8809
23.000,11,18.3570,0.0510,-4.6027
23.000,12,21.3364,-0.7138,-5.7367
23.000,13,20.7051,-1.1624,-4.4600
23.000,14,20.2765,-0.0618,-6.5487
24.000,0,20.0345,0.0828,-4.9556
24.000,1,19.7508,-0.4038,-3.5333
24.000,2,18.9856,1.0785,-5.4773
24.000,3,19.3622,1.0078,-3.8716
24.000,4,21.6799,0.6812,-5.2692
24.000,5,21.1174,0.1121,-3.9040
24.000,6,20.3854,1.2848,-5.9774
24.000,7,20.6468,1.4185,-4.5010
24.000,8,19.9965,-1.4604,-5.8716
24.000,9,19.1704,-1.3008,-4.6265
24.000,10,18.8980,-0.4234,-5.9111
24.000,11,18.4486,0.0105,-4.5389
24.000,12,21.3478,-0.7279,-5.6679
24.000,13,20.6398,-1.2148,-4.4369
24.000,14,20.2290,-0.1286,-6.4702
25.000,0,19.9796,0.1224,-4.9641
25.000,1,19.6889,-0.3836,-3.5729
25.000,2,18.9357,1.0598,-5.4740
25.000,3,19.3312,1.0693,-3.8623
25.000,4,21.6529,0.6723,-5.3196
25.000,5,21.0760,0.0969,-3.9031
25.000,6,20.3398,1.2932,-5.9535
25.000,7,20.6198,1.4395,-4.4918
25.000,8,19.9745,-1.4685,-5.8748
25.000,9,19.1115,-1.3801,-4.6568
25.000,10,18.8662,-0.3974,-5.8895
25.000,11,18.5163,-0.0147,-4.4880
25.000,12,21.3436,-0.7580,-5.6585
25.000,13,20.5933,-1.2186,-4.4401
25.000,14,20.2402,-0.1192,-6.4577
26.000,0,19.9725,0.1451,-4.9710
26.000,1,19.6869,-0.3803,-3.5529
26.000,2,18.9044,1.0746,-5.4639
26.000,3,19.3074,1.0789,-3.8990
26.000,4,21.5767,0.6580,-5.3254
26.000,5,21.0830,0.0919,-3.9259
26.000,6,20.3068,1.3165,-5.9414
26.000,7,20.6270,1.4304,-4.4801
26.000,8,19.9502,-1.4756,-5.8703
26.000,9,19.0843,-1.4032,-4.6388
26.000,10,18.8872,-0.4102,-5.8976
26.000,11,18.4952,-0.0248,-4.5044
26.000,12,21.3268,-0.7830,-5.6547
26.000,13,20.5605,-1.2138,-4.4421
26.000,14,20.2514,-0.0947,-6.4338
