sim_time,agent_id,x,y,z
0.000,0,2.0174,-0.9142,-5.9107
0.000,1,1.8841,-0.9236,-4.1013
0.000,2,0.7879,-1.4145,-5.7836
0.000,3,1.1044,-1.8577,-4.2442
0.000,4,1.0122,0.3856,-5.6781
0.000,5,0.6303,0.7001,-4.5823
0.000,6,-0.0479,-0.4504,-5.9238
0.000,7,-0.2865,-0.3018,-4.6679
0.000,8,2.1204,-0.7514,-7.6818
0.000,9,2.3658,-0.9346,-2.6057
0.000,10,0.9019,-1.9317,-6.9595
0.000,11,1.1232,-1.8720,-2.6599
0.000,12,1.0952,0.7173,-7.0560
0.000,13,1.5128,0.3117,-2.6131
0.000,14,0.1096,-0.6530,-7.2919
0.000,15,-0.2637,-0.4615,-2.6660
0.000,16,2.8235,-1.9182,-5.8564
0.000,17,3.0889,-1.7496,-4.1605
0.000,18,1.7439,-2.9733,-5.9379
0.000,19,1.8896,-2.9535,-4.3429
1.000,0,2.5084,-0.6882,-5.9563
1.000,1,2.3791,-0.7031,-4.0898
1.000,2,1.2161,-1.4703,-5.5912
1.000,3,1.4026,-1.8969,-4.2410
1.000,4,1.5512,0.3873,-5.7161
1.000,5,1.0599,0.8358,-4.2471
1.000,6,0.2409,-0.3104,-5.9662
1.000,7,0.1578,-0.3932,-4.3578
1.000,8,2.6614,-0.7257,-7.5674
1.000,9,2.9091,-0.9124,-2.7022
1.000,10,1.4339,-1.9378,-7.1116
1.000,11,1.6672,-1.8167,-2.7504
1.000,12,1.5945,0.7215,-7.2198
1.000,13,2.0475,0.3159,-2.7118
1.000,14,0.6520,-0.7044,-7.4033
1.000,15,0.2963,-0.4524,-2.7550
1.000,16,3.3666,-1.9678,-5.8112
1.000,17,3.5570,-1.7251,-4.2048
1.000,18,2.2371,-2.9312,-5.9040
1.000,19,2.4280,-3.0260,-4.3834
2.000,0,3.5263,-0.5869,-5.9313
2.000,1,3.3876,-0.5362,-4.1838
2.000,2,2.1998,-1.3970,-5.6448
2.000,3,2.3044,-1.8874,-4.2127
2.000,4,2.5235,0.4626,-5.6686
2.000,5,2.0300,0.8914,-4.1129
2.000,6,1.1633,-0.2096,-5.9387
2.000,7,1.1826,-0.4165,-4.2839
2.000,8,3.6950,-0.6743,-7.3713
2.000,9,3.9485,-0.8756,-2.8417
2.000,10,2.4770,-1.8931,-7.0635
2.000,11,2.7109,-1.7046,-2.7992
2.000,12,2.6014,0.7096,-7.1756
2.000,13,3.0615,0.3331,-2.8975
2.000,14,1.6886,-0.6555,-7.3440
2.000,15,1.3745,-0.4149,-2.8749
2.000,16,4.4056,-1.8938,-5.7341
2.000,17,4.5715,-1.6248,-4.2769
2.000,18,3.2217,-2.8029,-5.8630
2.000,19,3.4659,-2.9432,-4.4155
3.000,0,4.6891,-0.5623,-5.7633
3.000,1,4.5398,-0.4403,-4.3204
3.000,2,3.3527,-1.2540,-5.6556
3.000,3,3.4309,-1.8233,-4.2737
3.000,4,3.6288,0.5238,-5.5650
3.000,5,3.1752,0.8779,-4.1300
3.000,6,2.3110,-0.1427,-5.8709
3.000,7,2.3547,-0.3852,-4.4359
3.000,8,4.8685,-0.6196,-7.2648
3.000,9,5.1217,-0.8195,-2.9812
3.000,10,3.6591,-1.8266,-6.9671
3.000,11,3.8618,-1.5988,-2.8409
3.000,12,3.7572,0.6849,-7.0348
3.000,13,4.2003,0.3579,-3.1000
3.000,14,2.8531,-0.5710,-7.1872
3.000,15,2.5688,-0.3654,-2.9093
3.000,16,5.5782,-1.7625,-5.7302
3.000,17,5.7404,-1.4888,-4.2760
3.000,18,4.3547,-2.6247,-5.8689
3.000,19,4.6365,-2.7690,-4.3902
4.000,0,5.8806,-0.4824,-5.7884
4.000,1,5.7014,-0.3957,-4.3473
4.000,2,4.5307,-1.0695,-5.6261
4.000,3,4.6041,-1.7523,-4.3066
4.000,4,4.8104,0.5074,-5.4598
4.000,5,4.3471,0.8593,-4.1267
4.000,6,3.4614,-0.0337,-5.8612
4.000,7,3.5610,-0.3759,-4.4180
4.000,8,6.0745,-0.5683,-7.2767
4.000,9,6.3287,-0.7584,-3.0398
4.000,10,4.8742,-1.7549,-6.9514
4.000,11,5.0349,-1.4946,-2.9022
4.000,12,4.9575,0.6615,-6.9508
4.000,13,5.3685,0.4229,-3.1506
4.000,14,4.0594,-0.5130,-7.1375
4.000,15,3.7840,-0.3195,-2.9509
4.000,16,6.7881,-1.6603,-5.7385
