sim_time,agent_id,x,y,z
0.000,0,0.3053,-0.8438,-5.6395
0.000,1,0.5470,-0.5764,-4.7411
0.000,2,2.2292,-1.3929,-5.4747
0.000,3,2.2766,-1.0078,-4.2683
0.000,4,0.6140,-2.5495,-6.1017
0.000,5,0.7462,-2.6418,-4.1864
0.000,6,2.7045,-2.6311,-5.7861
0.000,7,2.2174,-2.5879,-4.3255
0.000,8,0.4969,-1.0342,-6.9144
0.000,9,0.6229,-1.1318,-2.4381
0.000,10,2.1264,-1.6124,-7.5498
0.000,11,1.8298,-1.7220,-2.6882
0.000,12,1.1264,-2.8875,-7.6280
0.000,13,0.7381,-2.1446,-2.7253
0.000,14,2.2897,-2.6361,-7.3462
0.000,15,2.0753,-2.7987,-2.2905
0.000,16,0.5901,0.1124,-5.9086
0.000,17,0.6972,0.2975,-4.4496
0.000,18,2.4350,0.5814,-5.8231
0.000,19,2.2341,0.5501,-4.2081
1.000,0,0.4357,-1.1608,-5.8447
1.000,1,0.8142,-0.8794,-4.3220
1.000,2,2.7118,-1.2537,-5.6611
1.000,3,2.7902,-0.9369,-4.0695
1.000,4,1.1612,-2.4931,-6.0641
1.000,5,1.2639,-2.5908,-4.3204
1.000,6,3.2448,-2.6887,-5.7853
1.000,7,2.7608,-2.5105,-4.3549
1.000,8,0.9145,-1.0467,-7.3540
1.000,9,1.0128,-0.8069,-2.4040
1.000,10,2.4788,-1.2433,-7.5707
1.000,11,2.3127,-1.4973,-2.8301
1.000,12,1.3210,-2.8460,-7.6532
1.000,13,1.0305,-2.4460,-2.8226
1.000,14,2.7914,-2.7799,-7.1687
1.000,15,2.5823,-2.9585,-2.2657
1.000,16,1.0494,0.3654,-5.9632
1.000,17,0.9797,0.7231,-4.4711
1.000,18,2.9788,0.5662,-5.7870
1.000,19,2.7787,0.5517,-4.2354
2.000,0,1.2578,-1.2618,-5.9381
2.000,1,1.7238,-1.0135,-4.0801
2.000,2,3.7230,-1.1122,-5.7089
2.000,3,3.8069,-0.8713,-4.1680
2.000,4,2.2099,-2.3815,-5.9876
2.000,5,2.2879,-2.4559,-4.4379
2.000,6,4.2810,-2.6114,-5.6842
2.000,7,3.7845,-2.3541,-4.3172
2.000,8,1.9068,-1.0005,-7.4778
2.000,9,1.9821,-0.5888,-2.5303
2.000,10,3.4272,-0.9814,-7.4275
2.000,11,3.2753,-1.3567,-2.8690
2.000,12,2.1715,-2.7060,-7.5223
2.000,13,1.9471,-2.5032,-2.9829
2.000,14,3.7722,-2.7478,-7.0889
2.000,15,3.5983,-2.9175,-2.4137
2.000,16,2.0431,0.4960,-5.9312
2.000,17,1.8767,0.9657,-4.5150
2.000,18,4.0143,0.5404,-5.7395
2.000,19,3.8121,0.6118,-4.2880
3.000,0,2.3516,-1.1772,-5.9027
3.000,1,2.8714,-0.9952,-4.0707
3.000,2,4.8892,-1.0069,-5.7134
3.000,3,4.9693,-0.7826,-4.2787
3.000,4,3.3965,-2.2684,-5.9457
3.000,5,3.4572,-2.2955,-4.5074
3.000,6,5.4521,-2.4609,-5.6293
3.000,7,4.9323,-2.2645,-4.2231
3.000,8,3.0736,-0.9278,-7.3513
3.000,9,3.1362,-0.4786,-2.7246
3.000,10,4.5699,-0.8427,-7.2077
3.000,11,4.4021,-1.2626,-2.9434
3.000,12,3.2861,-2.5380,-7.3810
3.000,13,3.0702,-2.4014,-3.0618
3.000,14,4.8942,-2.5975,-7.0240
3.000,15,4.7521,-2.7509,-2.6452
3.000,16,3.2005,0.5146,-5.9034
3.000,17,2.9972,1.0190,-4.5132
3.000,18,5.1847,0.5080,-5.7591
3.000,19,4.9739,0.7287,-4.2768
4.000,0,3.5262,-1.0627,-5.8276
4.000,1,4.0283,-0.8858,-4.2115
4.000,2,6.0875,-0.9481,-5.7269
4.000,3,6.1717,-0.6642,-4.2606
4.000,4,4.6091,-2.0968,-5.9562
4.000,5,4.6663,-2.1979,-4.4554
4.000,6,6.6568,-2.3026,-5.5753
4.000,7,6.1350,-2.1768,-4.1882
4.000,8,4.2624,-0.8507,-7.1484
4.000,9,4.3258,-0.3693,-2.8274
4.000,10,5.7558,-0.7313,-7.1249
4.000,11,5.5702,-1.1725,-3.0229
4.000,12,4.4569,-2.3888,-7.4311
4.000,13,4.2247,-2.2538,-3.0227
4.000,14,6.0523,-2.4080,-6.9285
4.000,15,5.9406,-2.5830,-2.8436
4.000,16,4.4016,0.4881,-5.8859
4.000,17,4.1804,1.0075,-4.4891
4.000,18,6.3893,0.4912,-5.7428
4.000,19,6.1757,0.8344,-4.2951
5.000,0,4.7038,-0.9499,-5.7100
5.000,1,5.1982,-0.7499,-4.3466
5.000,2,7.2503,-0.9079,-5.6946
5.000,3,7.3856,-0.5364,-4.2684
5.000,4,5.8247,-1.9199,-5.9380
5.000,5,5.8609,-2.1107,-4.4605
5.000,6,7.8737,-2.2540,-5.5783
5.000,7,7.3342,-2.0243,-4.2295
5.000,8,5.4545,-0.7726,-6.9615
5.000,9,5.4851,-0.2558,-2.9505
5.000,10,6.9462,-0.6186,-7.1704
5.000,11,6.7355,-1.0850,-3.0303
5.000,12,5.6441,-2.2286,-7.3942
5.000,13,5.3964,-2.0860,-3.0345
5.000,14,7.1895,-2.2087,-6.9097
5.000,15,7.1297,-2.5189,-2.7982
5.000,16,5.6151,0.4485,-5.8575
5.000,17,5.3821,0.9691,-4.4741
5.000,18,7.6029,0.5546,-5.7329
5.000,19,7.3818,0.9614,-4.3091
6.000,0,5.7851,-0.8836,-5.6923
6.000,1,6.4030,-0.6548,-4.3731
6.000,2,8.4076,-0.8593,-5.6925
6.000,3,8.6021,-0.4086,-4.2784
6.000,4,7.0372,-1.7232,-5.9115
6.000,5,7.0599,-2.0030,-4.4548
6.000,6,9.0941,-2.2025,-5.5929
6.000,7,8.5397,-1.8980,-4.2274
6.000,8,6.6634,-0.6732,-6.8904
6.000,9,6.6707,-0.1395,-2.9989
6.000,10,8.1449,-0.5216,-7.1144
6.000,11,7.9042,-0.9937,-3.0985
6.000,12,6.8282,-2.0795,-7.3476
6.000,13,6.5588,-1.9083,-3.0465
6.000,14,8.3251,-1.9972,-6.8604
6.000,15,8.3213,-2.4192,-2.8370
6.000,16,6.8327,0.4004,-5.8378
6.000,17,6.5888,0.9238,-4.4518
6.000,18,8.8235,0.5894,-5.7223
6.000,19,8.5882,1.0929,-4.3251
7.000,0,6.8931,-0.8317,-5.7351
