sim_time,agent_id,x,y,z
0.000,0,2.6495,0.3944,-5.7753
0.000,1,2.2558,0.5339,-4.1619
0.000,2,2.8538,-0.6807,-5.8394
0.000,3,2.8894,-0.8832,-4.0074
0.000,4,0.5093,-0.4790,-5.7900
0.000,5,1.1658,0.1331,-4.3544
0.000,6,1.4263,-1.8113,-5.8131
0.000,7,1.8050,-1.7369,-4.1862
0.000,8,2.0570,0.5839,-6.7905
0.000,9,2.7331,0.5321,-2.4016
1.000,0,3.0663,0.6218,-5.4905
1.000,1,2.7928,0.6083,-4.0902
1.000,2,3.3033,-0.9283,-5.9349
1.000,3,3.4302,-0.7974,-4.0275
1.000,4,1.0553,-0.4652,-5.7836
1.000,5,1.3824,0.0158,-4.4435
1.000,6,1.9735,-1.7563,-5.7795
1.000,7,2.2658,-1.7524,-4.2409
1.000,8,2.4800,0.5391,-7.0568
1.000,9,3.2719,0.5182,-2.5160
2.000,0,4.0431,0.7306,-5.4798
2.000,1,3.7896,0.6338,-3.9892
2.000,2,4.3023,-1.0084,-5.9258
2.000,3,4.4692,-0.7080,-4.0986
2.000,4,2.0905,-0.4497,-5.8426
2.000,5,2.2527,-0.0121,-4.4189
2.000,6,3.0084,-1.6535,-5.7344
2.000,7,3.2664,-1.6850,-4.2950
2.000,8,3.4598,0.5024,-7.0526
2.000,9,4.3007,0.4913,-2.6746
3.000,0,5.1960,0.7382,-5.5642
3.000,1,4.8752,0.6409,-4.0991
3.000,2,5.4638,-0.9432,-5.8706
3.000,3,5.6429,-0.6509,-4.1915
3.000,4,3.2437,-0.3988,-5.8592
3.000,5,3.3824,0.0046,-4.3970
3.000,6,4.1210,-1.5897,-5.7473
3.000,7,4.4331,-1.5733,-4.2658
3.000,8,4.6081,0.4736,-6.9041
3.000,9,5.4687,0.4513,-2.7046
4.000,0,6.3968,0.7321,-5.5552
4.000,1,6.0033,0.6327,-4.1373
4.000,2,6.6692,-0.8539,-5.7876
4.000,3,6.8502,-0.6031,-4.2870
4.000,4,4.4183,-0.3182,-5.8378
4.000,5,4.5814,0.0239,-4.4020
4.000,6,5.3060,-1.5318,-5.7299
4.000,7,5.6340,-1.4547,-4.2680
4.000,8,5.7596,0.4240,-6.8509
4.000,9,6.6698,0.4125,-2.8195
5.000,0,7.6100,0.7290,-5.5562
5.000,1,7.1127,0.6240,-4.1481
5.000,2,7.8789,-0.7753,-5.7550
5.000,3,8.0648,-0.5262,-4.3222
5.000,4,5.6054,-0.2590,-5.8459
5.000,5,5.7837,0.0410,-4.3781
5.000,6,6.5178,-1.4466,-5.7273
5.000,7,6.8194,-1.3537,-4.2626
5.000,8,6.9045,0.3617,-6.8420
5.000,9,7.8832,0.3642,-2.9020
6.000,0,8.8290,0.7297,-5.5687
6.000,1,8.2671,0.6501,-4.1913
6.000,2,9.0878,-0.7236,-5.7840
6.000,3,9.2817,-0.4493,-4.3004
6.000,4,6.7913,-0.2030,-5.8517
6.000,5,6.9260,0.0220,-4.3728
6.000,6,7.7349,-1.3587,-5.7286
6.000,7,8.0105,-1.2471,-4.2559
6.000,8,8.0632,0.3042,-6.7654
6.000,9,9.0990,0.3092,-2.9852
7.000,0,10.0499,0.7723,-5.5572
7.000,1,9.4231,0.6662,-4.2063
7.000,2,10.3051,-0.7037,-5.8017
7.000,3,10.4978,-0.4000,-4.3582
7.000,4,7.9704,-0.1435,-5.8554
7.000,5,8.0766,-0.0007,-4.3661
7.000,6,8.9323,-1.2896,-5.7229
7.000,7,9.2002,-1.1352,-4.2575
7.000,8,9.2117,0.2403,-6.6764
7.000,9,10.3167,0.2795,-3.0648
8.000,0,11.2706,0.7974,-5.5368
8.000,1,10.5827,0.6472,-4.2172
8.000,2,11.5212,-0.6848,-5.8955
8.000,3,11.7158,-0.3635,-4.4445
8.000,4,9.1305,-0.0940,-5.8439
8.000,5,9.2495,-0.0168,-4.3502
8.000,6,10.1245,-1.2154,-5.7196
8.000,7,10.3849,-1.0212,-4.2538
8.000,8,10.3771,0.1821,-6.5685
8.000,9,11.5329,0.2969,-3.0916
9.000,0,12.4898,0.8004,-5.5140
9.000,1,11.7488,0.6152,-4.2336
9.000,2,12.7321,-0.6505,-5.9659
9.000,3,12.9348,-0.3213,-4.5171
9.000,4,10.2441,-0.0667,-5.8065
9.000,5,10.3973,-0.0263,-4.3148
9.000,6,11.3275,-1.1216,-5.7135
9.000,7,11.5821,-0.9122,-4.2504
9.000,8,11.5720,0.1347,-6.4846
9.000,9,12.7470,0.3053,-3.1718
