sim_time,agent_id,x,y,z
0.000,0,-0.7492,2.2869,-5.9106
0.000,1,-0.8413,2.1901,-4.1013
0.000,2,-1.3200,1.0885,-5.7837
0.000,3,-0.7874,0.9745,-4.2442
0.000,4,-2.3681,2.5692,-5.6783
0.000,5,-2.8621,2.5439,-4.5824
0.000,6,-2.5874,1.2370,-5.9241
0.000,7,-2.8638,1.1859,-4.6681
0.000,8,-0.7830,2.4765,-7.6818
0.000,9,-0.4782,2.5066,-2.6057
1.000,0,-0.2174,2.3573,-5.9004
1.000,1,-0.3331,2.3306,-4.1099
1.000,2,-0.8026,0.9463,-5.7016
1.000,3,-0.3018,0.7657,-4.2992
1.000,4,-1.8538,2.6007,-5.8537
1.000,5,-2.4371,2.5637,-4.3213
1.000,6,-2.2940,1.1544,-6.1359
1.000,7,-2.3636,1.0425,-4.5079
1.000,8,-0.2507,2.4119,-7.5840
1.000,9,0.0555,2.4422,-2.6836
2.000,0,0.7935,2.3115,-5.8484
2.000,1,0.6551,2.3170,-4.2234
2.000,2,0.1697,0.8291,-5.6839
2.000,3,0.6529,0.6210,-4.3030
2.000,4,-0.8444,2.5237,-5.8925
2.000,5,-1.4667,2.4933,-4.2208
2.000,6,-1.3823,1.0576,-6.1907
2.000,7,-1.3500,0.9227,-4.4609
2.000,8,0.7527,2.2907,-7.4008
2.000,9,1.0665,2.3227,-2.7796
3.000,0,1.9344,2.2013,-5.7707
3.000,1,1.7728,2.2158,-4.3296
3.000,2,1.2509,0.7764,-5.7016
3.000,3,1.7577,0.5677,-4.2822
3.000,4,0.2957,2.3947,-5.8524
3.000,5,-0.3342,2.3675,-4.2331
3.000,6,-0.2674,0.9716,-6.1397
3.000,7,-0.2078,0.8328,-4.4759
3.000,8,1.8810,2.1581,-7.2372
3.000,9,2.2052,2.1903,-2.8893
4.000,0,3.1143,2.0791,-5.7587
4.000,1,2.8836,2.0938,-4.2892
4.000,2,2.4077,0.7462,-5.6794
4.000,3,2.9379,0.5396,-4.3034
4.000,4,1.4657,2.2565,-5.7886
4.000,5,0.8327,2.2333,-4.2795
4.000,6,0.8687,0.9033,-6.0571
4.000,7,0.9277,0.7675,-4.5113
4.000,8,3.0450,2.0216,-7.2699
4.000,9,3.3832,2.0563,-2.8859
5.000,0,4.3122,1.9751,-5.7585
5.000,1,4.0085,1.9729,-4.2824
5.000,2,3.5773,0.6943,-5.6796
5.000,3,4.1410,0.4997,-4.3019
5.000,4,2.6510,2.1478,-5.7109
5.000,5,2.0081,2.1487,-4.3260
5.000,6,2.0170,0.8340,-5.9965
5.000,7,2.0920,0.6833,-4.5392
5.000,8,4.2253,1.8848,-7.2495
5.000,9,4.5773,1.9208,-2.8936
6.000,0,5.5207,1.8992,-5.7210
6.000,1,5.1352,1.8975,-4.2934
6.000,2,4.7444,0.6101,-5.6677
6.000,3,5.3509,0.4096,-4.3121
6.000,4,3.8481,2.0594,-5.6575
6.000,5,3.1822,2.0811,-4.3410
6.000,6,3.1834,0.7539,-6.0061
6.000,7,3.2828,0.5843,-4.5043
6.000,8,5.4102,1.7430,-7.2075
6.000,9,5.7792,1.7807,-2.9485
7.000,0,6.7331,1.8079,-5.6954
7.000,1,6.2382,1.8122,-4.2835
7.000,2,5.9240,0.5413,-5.6593
7.000,3,6.5658,0.3282,-4.3232
7.000,4,5.0526,1.9634,-5.6531
7.000,5,4.3499,1.9890,-4.3149
7.000,6,4.3683,0.6736,-5.9811
7.000,7,4.4920,0.5071,-4.4984
7.000,8,6.5923,1.5944,-7.1752
7.000,9,6.9845,1.6350,-3.0019
8.000,0,7.9458,1.7129,-5.6515
8.000,1,7.3349,1.7063,-4.2927
8.000,2,7.1018,0.4754,-5.6533
8.000,3,7.7828,0.2667,-4.3353
8.000,4,6.2621,1.8661,-5.6212
8.000,5,5.5291,1.8981,-4.3195
8.000,6,5.5563,0.5883,-5.9663
8.000,7,5.7069,0.4213,-4.4852
8.000,8,7.7742,1.4391,-7.1141
8.000,9,8.1914,1.4857,-3.0874
9.000,0,9.1595,1.6223,-5.5918
9.000,1,8.4174,1.5995,-4.3009
9.000,2,8.2752,0.4065,-5.6458
9.000,3,9.0016,0.2050,-4.3522
9.000,4,7.4735,1.7636,-5.5996
9.000,5,6.7031,1.8086,-4.3162
9.000,6,6.7428,0.5024,-5.9547
9.000,7,6.9225,0.3306,-4.4732
9.000,8,8.9540,1.2782,-7.0361
9.000,9,9.3966,1.3320,-3.2088
10.000,0,10.3734,1.5268,-5.5136
10.000,1,9.4879,1.4818,-4.3130
10.000,2,9.4449,0.3440,-5.6392
10.000,3,10.2200,0.1503,-4.3721
10.000,4,8.6854,1.6569,-5.5765
10.000,5,7.8721,1.7118,-4.3182
10.000,6,7.9259,0.4161,-5.9385
10.000,7,8.1397,0.2435,-4.4661
10.000,8,10.1305,1.1124,-6.9332
10.000,9,10.6006,1.1781,-3.3622
11.000,0,11.5841,1.4206,-5.4052
11.000,1,10.5857,1.3380,-4.2940
11.000,2,10.6071,0.2737,-5.6660
11.000,3,11.4320,0.0463,-4.4423
11.000,4,9.8847,1.5697,-5.5903
11.000,5,9.0434,1.6151,-4.3382
11.000,6,9.1055,0.3327,-5.9249
11.000,7,9.3568,0.1545,-4.4564
11.000,8,11.3040,0.9457,-6.7996
11.000,9,11.8133,1.0862,-3.4659
12.000,0,12.7922,1.2890,-5.2921
12.000,1,11.7055,1.1722,-4.2722
12.000,2,11.7360,0.1531,-5.6491
12.000,3,12.6417,-0.0906,-4.4986
12.000,4,11.0703,1.5088,-5.6098
12.000,5,10.2128,1.5170,-4.3750
12.000,6,10.2713,0.2605,-5.9062
12.000,7,10.5737,0.0629,-4.4491
12.000,8,12.5013,0.8237,-6.7153
12.000,9,13.0293,1.0340,-3.5621
13.000,0,14.0004,1.1374,-5.2064
13.000,1,12.8377,1.0003,-4.2766
13.000,2,12.8574,0.0279,-5.5905
13.000,3,13.8541,-0.2220,-4.5131
13.000,4,12.2677,1.4201,-5.6130
13.000,5,11.3729,1.4123,-4.4094
13.000,6,11.3981,0.2136,-5.8787
13.000,7,11.7885,-0.0302,-4.4505
13.000,8,13.7126,0.7330,-6.6246
13.000,9,14.2410,0.9780,-3.7183
14.000,0,15.2148,1.0451,-5.1929
14.000,1,14.0204,0.8783,-4.2843
14.000,2,13.9959,-0.0685,-5.5381
14.000,3,15.0691,-0.3529,-4.5343
