rate_cap_bps,seed,success,t_tree_first,t_tree_stable_first,duration_s,termination_reason,rx_Bps,tx_Bps,queue_delay_mean_s,queue_delay_p95_s,queue_overflow_drops,queue_overflow_drop_rate,queue_max_occupancy,reachable_from_root,N
6,1,0,,,30.0,T_prune_reached,1.0,1.2,13.141667,22.933333,0,0.0,136,5,10
6,2,0,,,30.0,T_prune_reached,1.2,1.2,13.011111,23.066667,0,0.0,95,5,10
6,3,0,,,30.0,T_prune_reached,1.0,1.0,13.73,21.816667,0,0.0,119,3,10
12,1,0,,,30.0,T_prune_reached,4.4,5.4,10.627778,21.8,0,0.0,137,9,10
12,2,0,,,30.0,T_prune_reached,2.2,3.0,11.033333,24.1,0,0.0,94,6,10
12,3,0,,,30.0,T_prune_reached,3.0,3.4,11.358824,22.916667,0,0.0,115,6,10
18,1,1,29.15,,30.0,T_prune_reached,11.8,13.0,10.889231,21.333333,0,0.0,174,10,10
18,2,1,26.367,,30.0,T_prune_reached,10.4,10.8,10.034568,20.35,0,0.0,133,10,10
18,3,0,,,30.0,T_prune_reached,9.0,9.4,9.728369,20.416667,0,0.0,152,9,10
24,1,1,23.35,28.367,28.367,early_stop_stable,17.1,18.8,9.778839,18.95,0,0.0,166,10,10
24,2,1,19.567,28.55,28.55,early_stop_stable,16.6,17.0,8.80535,17.033333,0,0.0,122,10,10
24,3,1,27.033,,30.0,T_prune_reached,12.6,13.2,8.722222,18.783333,0,0.0,150,10,10
30,1,1,21.95,29.75,29.75,early_stop_stable,21.6,24.4,9.890909,19.6,0,0.0,153,10,10
30,2,1,16.7,21.7,21.7,early_stop_stable,17.1,19.6,6.023005,13.533333,0,0.0,93,10,10
30,3,1,15.317,20.317,20.317,early_stop_stable,15.4,18.3,5.752419,12.15,0,0.0,101,10,10
36,1,1,19.4,25.933,25.933,early_stop_stable,26.4,29.4,8.260892,16.266667,0,0.0,142,10,10
36,2,1,15.983,20.983,20.983,early_stop_stable,24.9,27.7,5.854296,12.5,0,0.0,94,10,10
36,3,1,11.767,22.4,22.4,early_stop_stable,24.1,27.1,6.14736,13.183333,0,0.0,120,10,10
42,1,1,12.9,17.917,17.917,early_stop_stable,28.5,31.8,5.531579,11.216667,0,0.0,105,10,10
42,2,1,13.667,18.667,18.667,early_stop_stable,28.9,31.8,4.59798,9.216667,0,0.0,78,10,10
42,3,1,15.583,25.25,25.25,early_stop_stable,29.2,32.1,6.69716,14.1,0,0.0,130,10,10
48,1,1,11.483,21.017,21.017,early_stop_stable,38.5,42.8,6.461111,12.916667,0,0.0,127,10,10
48,2,1,12.667,21.033,21.033,early_stop_stable,37.1,40.5,5.018662,9.983333,0,0.0,88,10,10
48,3,1,10.267,25.967,25.967,early_stop_stable,37.9,42.5,7.067754,14.55,0,0.0,130,10,10
60,1,1,9.167,17.667,17.667,early_stop_stable,48.6,53.0,4.819444,9.916667,0,0.0,106,10,10
60,2,1,9.967,18.917,18.917,early_stop_stable,45.0,49.5,3.931944,9.333333,0,0.0,77,10,10
60,3,1,8.467,,30.0,T_prune_reached,50.2,59.0,8.12791,17.316667,0,0.0,152,10,10
72,1,1,8.867,17.917,17.917,early_stop_stable,58.6,65.0,4.524227,9.1,0,0.0,110,10,10
72,2,1,9.6,14.6,14.6,early_stop_stable,44.4,48.5,2.501977,5.8,0,0.0,49,10,10
72,3,1,9.75,23.017,23.017,early_stop_stable,53.2,60.2,5.12417,10.8,0,0.0,110,10,10
96,1,1,7.2,19.183,19.183,early_stop_stable,85.4,92.3,3.874972,8.966667,0,0.0,109,10,10
96,2,1,8.767,13.767,13.767,early_stop_stable,55.4,61.9,1.74108,4.916667,0,0.0,37,10,10
96,3,1,6.967,25.033,25.033,early_stop_stable,84.8,93.7,5.110401,11.366667,0,0.0,113,10,10
120,1,1,6.6,15.167,15.167,early_stop_stable,97.7,108.0,2.429121,5.65,0,0.0,68,10,10
120,2,1,5.7,13.017,13.017,early_stop_stable,73.8,83.4,1.502578,4.1,0,0.0,35,10,10
120,3,1,7.367,19.917,19.917,early_stop_stable,95.5,106.9,3.181362,7.4,0,0.0,70,10,10
144,1,1,6.017,16.617,16.617,early_stop_stable,118.8,133.2,1.955375,5.466667,0,0.0,75,10,10
144,2,1,5.167,13.6,13.6,early_stop_stable,91.8,101.9,1.352092,3.766667,0,0.0,31,10,10
144,3,1,5.783,19.183,19.183,early_stop_stable,115.1,127.0,2.288506,5.466667,0,0.0,62,10,10
192,1,1,5.533,11.633,11.633,early_stop_stable,122.2,135.6,0.874525,2.416667,0,0.0,35,10,10
192,2,1,4.183,12.1,12.1,early_stop_stable,114.0,123.5,0.855489,2.366667,0,0.0,21,10,10
192,3,1,5.867,17.167,17.167,early_stop_stable,130.4,146.4,1.194073,3.45,0,0.0,36,10,10
240,1,1,4.217,11.717,11.717,early_stop_stable,145.4,161.8,0.691456,2.433333,0,0.0,33,10,10
240,2,1,4.317,12.383,12.383,early_stop_stable,118.2,130.3,0.573668,1.533333,0,0.0,14,10,10
240,3,1,4.517,20.983,20.983,early_stop_stable,174.4,191.6,0.883085,2.466667,0,0.0,47,10,10
