rate_cap_bps,seed,success,t_tree_first,t_tree_stable_first,duration_s,termination_reason,rx_Bps,tx_Bps,queue_delay_mean_s,queue_delay_p95_s,queue_overflow_drops,queue_overflow_drop_rate,queue_max_occupancy,reachable_from_root,N
6.0,1,0,,,30.0,T_prune_reached,1.4,1.4,12.554762,23.983333,0,0.0,195,5,20
6.0,2,0,,,30.0,T_prune_reached,1.2,1.4,12.414286,23.0,0,0.0,156,6,20
6.0,3,0,,,30.0,T_prune_reached,1.4,1.4,12.392857,22.85,0,0.0,187,7,20
12.0,1,0,,,30.0,T_prune_reached,6.2,7.2,11.403241,23.033333,0,0.0,268,13,20
12.0,2,0,,,30.0,T_prune_reached,7.6,8.0,10.811667,23.116667,0,0.0,218,13,20
12.0,3,0,,,30.0,T_prune_reached,7.4,8.4,11.221429,21.683333,0,0.0,234,13,20
18.0,1,0,,,30.0,T_prune_reached,10.8,12.4,10.046237,22.1,0,0.0,270,15,20
18.0,2,0,,,30.0,T_prune_reached,16.2,18.2,10.094139,20.516667,0,0.0,240,18,20
18.0,3,0,,,30.0,T_prune_reached,13.0,14.6,9.959817,20.183333,0,0.0,230,16,20
24.0,1,1,27.5,,30.0,T_prune_reached,28.2,31.0,9.849032,20.866667,0,0.0,276,20,20
24.0,2,1,28.65,,30.0,T_prune_reached,27.4,30.4,9.817982,20.933333,0,0.0,250,20,20
24.0,3,1,25.433,,30.0,T_prune_reached,26.4,28.4,9.548122,19.15,0,0.0,222,20,20
30.0,1,1,21.25,,30.0,T_prune_reached,38.6,41.6,9.586058,20.366667,0,0.0,304,20,20
30.0,2,1,18.933,27.333,27.333,early_stop_stable,38.4,43.2,8.646785,18.116667,0,0.0,216,20,20
30.0,3,1,21.467,,30.0,T_prune_reached,36.6,41.2,9.494337,19.833333,0,0.0,225,20,20
36.0,1,1,19.15,,30.0,T_prune_reached,52.0,57.4,9.797154,20.15,0,0.0,302,20,20
36.0,2,1,19.183,,30.0,T_prune_reached,53.6,58.8,9.716723,19.333333,0,0.0,253,20,20
36.0,3,1,16.85,,30.0,T_prune_reached,54.8,60.8,10.1767,20.666667,0,0.0,272,20,20
42.0,1,1,16.617,24.083,24.083,early_stop_stable,55.6,61.5,7.426383,15.483333,0,0.0,201,20,20
42.0,2,1,13.433,28.8,28.8,early_stop_stable,66.0,72.9,9.202476,18.6,0,0.0,241,20,20
42.0,3,1,17.8,,30.0,T_prune_reached,66.8,72.6,10.097016,20.516667,0,0.0,267,20,20
48.0,1,1,15.417,21.933,21.933,early_stop_stable,61.6,68.9,6.534061,13.883333,0,0.0,183,20,20
48.0,2,1,14.117,,30.0,T_prune_reached,80.4,86.0,9.367132,19.0,0,0.0,254,20,20
48.0,3,1,15.5,20.5,20.5,early_stop_stable,60.0,67.0,6.23559,12.9,0,0.0,134,20,20
60.0,1,1,10.75,24.6,24.6,early_stop_stable,98.5,109.5,7.417112,15.25,0,0.0,221,20,20
60.0,2,1,10.817,25.017,25.017,early_stop_stable,98.1,107.2,7.02953,14.433333,0,0.0,185,20,20
60.0,3,1,14.833,27.2,27.2,early_stop_stable,95.3,106.3,8.350899,16.733333,0,0.0,225,20,20
72.0,1,1,9.6,25.333,25.333,early_stop_stable,124.1,136.9,7.132987,14.666667,0,0.0,230,20,20
72.0,2,1,11.767,21.333,21.333,early_stop_stable,114.2,125.2,5.506217,11.7,0,0.0,144,20,20
72.0,3,1,9.117,,30.0,T_prune_reached,130.0,143.8,9.381131,18.766667,0,0.0,245,20,20
96.0,1,1,9.117,29.7,29.7,early_stop_stable,177.2,196.4,7.460871,16.016667,0,0.0,268,20,20
96.0,2,1,8.7,13.7,13.7,early_stop_stable,120.9,135.3,2.652643,5.916667,0,0.0,55,20,20
96.0,3,1,8.0,17.683,17.683,early_stop_stable,161.5,175.4,4.631141,9.733333,0,0.0,123,20,20
120.0,1,1,9.517,25.783,25.783,early_stop_stable,211.3,235.3,5.293834,11.866667,0,0.0,202,20,20
120.0,2,1,8.15,21.317,21.317,early_stop_stable,205.5,228.0,4.090638,9.6,0,0.0,113,20,20
120.0,3,1,7.617,13.317,13.317,early_stop_stable,163.6,180.2,2.791167,6.15,0,0.0,85,20,20
144.0,1,1,7.867,26.4,26.4,early_stop_stable,264.3,295.9,4.612442,11.033333,0,0.0,207,20,20
144.0,2,1,8.333,18.167,18.167,early_stop_stable,234.8,256.3,2.83692,7.033333,0,0.0,80,20,20
144.0,3,1,6.85,16.617,16.617,early_stop_stable,231.5,256.0,3.164175,7.333333,0,0.0,94,20,20
192.0,1,1,6.317,15.383,15.383,early_stop_stable,300.7,333.5,1.666959,4.383333,0,0.0,87,20,20
192.0,2,1,5.933,21.883,21.883,early_stop_stable,337.2,369.6,2.382542,7.366667,0,0.0,129,20,20
192.0,3,1,5.467,19.183,19.183,early_stop_stable,341.9,378.8,2.574511,6.966667,0,0.0,108,20,20
240.0,1,1,5.167,22.333,22.333,early_stop_stable,400.3,448.1,1.581575,4.883333,0,0.0,122,20,20
240.0,2,1,4.983,19.667,19.667,early_stop_stable,373.7,406.4,1.329229,4.4,0,0.0,70,20,20
240.0,3,1,4.967,22.05,22.05,early_stop_stable,423.1,471.6,2.008781,6.15,0,0.0,112,20,20
