N,cap_bps,cap_label,description,n_runs,success_rate,t_tree_first_mean_s,t_tree_first_sem_s,delay_p95_mean_ms,delay_p95_sem_ms,rx_Bps_mean
10,inf,∞,No limit,10,1.0,2.9,0.21,0.0,0.0,185.1
10,250.0,250,High cap,10,1.0,4.28,0.15,2135.0,359.1,168.9
10,48.0,48,2× above breakpoint,3,1.0,11.47,0.69,12483.3,1336.0,37.8
10,30.0,30,Above breakpoint,3,1.0,17.99,2.02,15094.4,2287.9,18.0
10,18.0,18,Near breakpoint (partial),3,0.667,27.76,1.39,20700.0,317.3,10.4
10,12.0,12,Below breakpoint (failure),3,0.0,,,22938.9,664.0,3.2
20,inf,∞,No limit,3,1.0,2.99,0.08,0.0,0.0,546.5
20,250.0,250,High cap,3,1.0,4.98,0.13,4716.7,274.4,405.4
20,48.0,48,2× above breakpoint,3,1.0,15.01,0.45,15261.1,1890.9,67.3
20,30.0,30,Above breakpoint,3,1.0,20.55,0.81,19438.9,678.8,37.9
20,24.0,24,Near breakpoint (first success),3,1.0,27.19,0.94,20316.7,583.7,27.3
20,18.0,18,Below breakpoint (failure),3,0.0,,,20933.3,591.2,13.3
