rate_cap_bps,seed,success,t_tree_first,t_tree_stable_first,duration_s,termination_reason,rx_Bps,tx_Bps,queue_delay_mean_s,queue_delay_p95_s,queue_overflow_drops,queue_overflow_drop_rate,queue_max_occupancy,reachable_from_root,N
inf,1,1,1.783,10.883,10.883,early_stop_stable,179.2,199.0,0.0,0.0,0,0.0,0,10,10
inf,2,1,3.767,10.333,10.333,early_stop_stable,133.5,148.1,0.0,0.0,0,0.0,0,10,10
inf,3,1,2.717,17.75,17.75,early_stop_stable,194.4,215.3,0.0,0.0,0,0.0,0,10,10
inf,4,1,2.05,16.7,16.7,early_stop_stable,204.1,226.0,0.0,0.0,0,0.0,0,10,10
inf,5,1,2.35,11.817,11.817,early_stop_stable,197.5,222.4,0.0,0.0,0,0.0,0,10,10
inf,6,1,3.617,16.0,16.0,early_stop_stable,177.4,202.1,0.0,0.0,0,0.0,0,10,10
inf,7,1,3.417,25.183,25.183,early_stop_stable,206.8,230.2,0.0,0.0,0,0.0,0,10,10
inf,8,1,2.917,7.917,7.917,early_stop_stable,157.6,169.0,0.0,0.0,0,0.0,0,10,10
inf,9,1,3.367,17.6,17.6,early_stop_stable,195.7,222.6,0.0,0.0,0,0.0,0,10,10
inf,10,1,2.967,16.733,16.733,early_stop_stable,204.4,228.0,0.0,0.0,0,0.0,0,10,10
128000,1,1,3.117,10.567,10.567,early_stop_stable,168.6,187.4,0.0,0.0,0,0.0,8,10,10
128000,2,1,3.033,11.1,11.1,early_stop_stable,144.3,157.8,0.0,0.0,0,0.0,6,10,10
128000,3,1,2.417,17.733,17.733,early_stop_stable,192.5,212.8,0.0,0.0,0,0.0,9,10,10
128000,4,1,2.767,7.767,7.767,early_stop_stable,132.9,145.2,0.0,0.0,0,0.0,7,10,10
128000,5,1,2.25,13.067,13.067,early_stop_stable,197.9,226.8,0.0,0.0,0,0.0,7,10,10
128000,6,1,3.9,15.883,15.883,early_stop_stable,185.9,209.7,0.0,0.0,0,0.0,7,10,10
128000,7,1,2.833,25.5,25.5,early_stop_stable,207.8,231.8,0.0,0.0,0,0.0,7,10,10
128000,8,1,2.917,8.083,8.083,early_stop_stable,160.3,169.2,0.0,0.0,0,0.0,5,10,10
128000,9,1,2.517,16.5,16.5,early_stop_stable,208.4,234.2,0.0,0.0,0,0.0,8,10,10
