condition,seed,N,success,t_tree_first,t_tree_stable_first,duration_s,termination_reason,rx_Bps,tx_Bps,observed_drop_rate,send_dist_mean_m,send_dist_p95_m,p_drop_eff_mean,p_drop_eff_p95,dist_impair_model,dist_profile,dist_p0,dist_k,dist_alpha,dist_pmax
baseline,1,20,1,3.05,20.05,20.05,early_stop_stable,514.1,575.8,0.1071,1.6,1.946,0.1,0.1,none,none,0.05,0.25,1.0,0.95
baseline,2,20,1,3.1,,30.0,T_prune_reached,563.8,626.6,0.1002,1.589,1.902,0.1,0.1,none,none,0.05,0.25,1.0,0.95
baseline,3,20,1,2.833,17.25,17.25,early_stop_stable,561.7,621.9,0.0968,1.61,1.943,0.1,0.1,none,none,0.05,0.25,1.0,0.95
baseline,4,20,1,3.45,10.317,10.317,early_stop_stable,495.5,546.1,0.0927,1.615,1.958,0.1,0.1,none,none,0.05,0.25,1.0,0.95
baseline,5,20,1,3.05,23.117,23.117,early_stop_stable,560.1,620.9,0.0978,1.585,1.927,0.1,0.1,none,none,0.05,0.25,1.0,0.95
weak,1,20,1,3.317,26.933,26.933,early_stop_stable,477.0,631.3,0.2445,1.596,1.936,0.2495,0.292,drop,weak,0.05,0.25,1.0,0.95
weak,2,20,1,4.333,17.85,17.85,early_stop_stable,393.3,516.3,0.2383,1.598,1.916,0.2498,0.2895,drop,weak,0.05,0.25,1.0,0.95
weak,3,20,1,3.083,18.517,18.517,early_stop_stable,473.1,622.8,0.2404,1.609,1.943,0.2511,0.2929,drop,weak,0.05,0.25,1.0,0.95
weak,4,20,1,4.067,27.933,27.933,early_stop_stable,520.5,684.3,0.2395,1.591,1.912,0.2489,0.2891,drop,weak,0.05,0.25,1.0,0.95
weak,5,20,1,3.9,12.467,12.467,early_stop_stable,353.7,478.9,0.2613,1.593,1.951,0.2492,0.2939,drop,weak,0.05,0.25,1.0,0.95
strong,1,20,1,8.083,,30.0,T_prune_reached,228.4,606.2,0.6232,1.586,1.916,0.6201,0.8759,drop,strong,0.05,0.9,2.0,0.95
strong,2,20,1,8.967,22.533,22.533,early_stop_stable,187.7,495.5,0.6212,1.588,1.906,0.6216,0.8674,drop,strong,0.05,0.9,2.0,0.95
strong,3,20,1,7.033,21.167,21.167,early_stop_stable,212.3,598.4,0.6452,1.602,1.941,0.6325,0.8977,drop,strong,0.05,0.9,2.0,0.95
strong,4,20,1,5.65,24.567,24.567,early_stop_stable,245.5,645.3,0.6196,1.592,1.915,0.6247,0.8753,drop,strong,0.05,0.9,2.0,0.95
strong,5,20,1,8.467,19.867,19.867,early_stop_stable,188.2,517.3,0.6363,1.585,1.938,0.6197,0.8951,drop,strong,0.05,0.9,2.0,0.95
